Unnamed: 0,drug_a_name,drug_b_name,cell,synergy,drug1_db,drug2_db,synergistic
5-FU_BORTEZOMIB_A2058,5-FU,BORTEZOMIB,14,-5.239878448,3,4,0
5-FU_BORTEZOMIB_A2780,5-FU,BORTEZOMIB,26,-18.59912622,3,4,0
5-FU_BORTEZOMIB_A375,5-FU,BORTEZOMIB,13,-2.405334783,3,4,0
5-FU_BORTEZOMIB_CAOV3,5-FU,BORTEZOMIB,19,-35.27304184,3,4,0
5-FU_BORTEZOMIB_DLD1,5-FU,BORTEZOMIB,5,5.228476756,3,4,1
5-FU_BORTEZOMIB_ES2,5-FU,BORTEZOMIB,10,-16.13012533,3,4,0
5-FU_BORTEZOMIB_HCT116,5-FU,BORTEZOMIB,2,-4.51926945,3,4,0
5-FU_BORTEZOMIB_HT144,5-FU,BORTEZOMIB,21,-14.56978258,3,4,0
5-FU_BORTEZOMIB_HT29,5-FU,BORTEZOMIB,23,-15.95161347,3,4,0
5-FU_BORTEZOMIB_KPL1,5-FU,BORTEZOMIB,22,-2.997532726,3,4,0
5-FU_BORTEZOMIB_LOVO,5-FU,BORTEZOMIB,8,-6.175982009,3,4,0
5-FU_BORTEZOMIB_MDAMB436,5-FU,BORTEZOMIB,25,-2.025565761,3,4,0
5-FU_BORTEZOMIB_NCIH1650,5-FU,BORTEZOMIB,6,-15.77870569,3,4,0
5-FU_BORTEZOMIB_NCIH2122,5-FU,BORTEZOMIB,17,-16.69626568,3,4,0
5-FU_BORTEZOMIB_NCIH23,5-FU,BORTEZOMIB,11,-9.190964586,3,4,0
5-FU_BORTEZOMIB_NCIH460,5-FU,BORTEZOMIB,7,-18.99813026,3,4,0
5-FU_BORTEZOMIB_NCIH520,5-FU,BORTEZOMIB,16,-24.06755091,3,4,0
5-FU_BORTEZOMIB_OV90,5-FU,BORTEZOMIB,18,-9.586166869,3,4,0
5-FU_BORTEZOMIB_RKO,5-FU,BORTEZOMIB,1,2.907200668,3,4,1
5-FU_BORTEZOMIB_RPMI7951,5-FU,BORTEZOMIB,15,-10.47941439,3,4,0
5-FU_BORTEZOMIB_SKMEL30,5-FU,BORTEZOMIB,20,-172.8887021,3,4,0
5-FU_BORTEZOMIB_SKMES1,5-FU,BORTEZOMIB,4,-11.64272985,3,4,0
5-FU_BORTEZOMIB_SKOV3,5-FU,BORTEZOMIB,28,-4.604893623,3,4,0
5-FU_BORTEZOMIB_SW620,5-FU,BORTEZOMIB,24,-1.907966818,3,4,0
5-FU_BORTEZOMIB_SW837,5-FU,BORTEZOMIB,0,-1.3618595,3,4,0
5-FU_BORTEZOMIB_T47D,5-FU,BORTEZOMIB,12,2.748791181,3,4,1
5-FU_BORTEZOMIB_UACC62,5-FU,BORTEZOMIB,9,-17.84185108,3,4,0
5-FU_BORTEZOMIB_VCAP,5-FU,BORTEZOMIB,27,-7.053510631,3,4,0
5-FU_BORTEZOMIB_ZR751,5-FU,BORTEZOMIB,3,-17.45137527,3,4,0
5-FU_DASATINIB_A2058,5-FU,DASATINIB,14,31.12564418,3,17,1
5-FU_DASATINIB_A2780,5-FU,DASATINIB,26,50.60366026,3,17,1
5-FU_DASATINIB_A375,5-FU,DASATINIB,13,2.683689159,3,17,1
5-FU_DASATINIB_CAOV3,5-FU,DASATINIB,19,17.87983173,3,17,1
5-FU_DASATINIB_DLD1,5-FU,DASATINIB,5,21.43309088,3,17,1
5-FU_DASATINIB_ES2,5-FU,DASATINIB,10,17.69019535,3,17,1
5-FU_DASATINIB_HCT116,5-FU,DASATINIB,2,-7.819271786,3,17,0
5-FU_DASATINIB_HT144,5-FU,DASATINIB,21,-22.97327812,3,17,0
5-FU_DASATINIB_HT29,5-FU,DASATINIB,23,17.06698076,3,17,1
5-FU_DASATINIB_KPL1,5-FU,DASATINIB,22,3.446811911,3,17,1
5-FU_DASATINIB_LOVO,5-FU,DASATINIB,8,21.38558819,3,17,1
5-FU_DASATINIB_MDAMB436,5-FU,DASATINIB,25,18.71869688,3,17,1
5-FU_DASATINIB_NCIH1650,5-FU,DASATINIB,6,23.23497071,3,17,1
5-FU_DASATINIB_NCIH2122,5-FU,DASATINIB,17,-31.1947196,3,17,0
5-FU_DASATINIB_NCIH23,5-FU,DASATINIB,11,11.55914675,3,17,1
5-FU_DASATINIB_NCIH460,5-FU,DASATINIB,7,21.6687261,3,17,1
5-FU_DASATINIB_NCIH520,5-FU,DASATINIB,16,42.73505144,3,17,1
5-FU_DASATINIB_OV90,5-FU,DASATINIB,18,0.433034774,3,17,1
5-FU_DASATINIB_RKO,5-FU,DASATINIB,1,17.31163283,3,17,1
5-FU_DASATINIB_RPMI7951,5-FU,DASATINIB,15,19.06355103,3,17,1
5-FU_DASATINIB_SKMEL30,5-FU,DASATINIB,20,-4.618694814,3,17,0
5-FU_DASATINIB_SKMES1,5-FU,DASATINIB,4,2.981820492,3,17,1
5-FU_DASATINIB_SKOV3,5-FU,DASATINIB,28,1.304656068,3,17,1
5-FU_DASATINIB_SW620,5-FU,DASATINIB,24,30.44463084,3,17,1
5-FU_DASATINIB_SW837,5-FU,DASATINIB,0,15.87733689,3,17,1
5-FU_DASATINIB_T47D,5-FU,DASATINIB,12,18.86560141,3,17,1
5-FU_DASATINIB_UACC62,5-FU,DASATINIB,9,12.12396034,3,17,1
5-FU_DASATINIB_VCAP,5-FU,DASATINIB,27,21.45572644,3,17,1
5-FU_DASATINIB_ZR751,5-FU,DASATINIB,3,5.114279433,3,17,1
5-FU_ERLOTINIB_A2058,5-FU,ERLOTINIB,14,9.694285755,3,0,1
5-FU_ERLOTINIB_A2780,5-FU,ERLOTINIB,26,16.5693311,3,0,1
5-FU_ERLOTINIB_A375,5-FU,ERLOTINIB,13,13.96439243,3,0,1
5-FU_ERLOTINIB_CAOV3,5-FU,ERLOTINIB,19,-7.951635169,3,0,0
5-FU_ERLOTINIB_DLD1,5-FU,ERLOTINIB,5,10.18127129,3,0,1
5-FU_ERLOTINIB_ES2,5-FU,ERLOTINIB,10,15.1231625,3,0,1
5-FU_ERLOTINIB_HCT116,5-FU,ERLOTINIB,2,14.45297793,3,0,1
5-FU_ERLOTINIB_HT144,5-FU,ERLOTINIB,21,9.559453271,3,0,1
5-FU_ERLOTINIB_HT29,5-FU,ERLOTINIB,23,11.33747162,3,0,1
5-FU_ERLOTINIB_KPL1,5-FU,ERLOTINIB,22,-3.015273458,3,0,0
5-FU_ERLOTINIB_LOVO,5-FU,ERLOTINIB,8,12.41733168,3,0,1
5-FU_ERLOTINIB_MDAMB436,5-FU,ERLOTINIB,25,16.1498979,3,0,1
5-FU_ERLOTINIB_NCIH1650,5-FU,ERLOTINIB,6,0.92478625,3,0,1
5-FU_ERLOTINIB_NCIH2122,5-FU,ERLOTINIB,17,24.45497683,3,0,1
5-FU_ERLOTINIB_NCIH23,5-FU,ERLOTINIB,11,6.37341014,3,0,1
5-FU_ERLOTINIB_NCIH460,5-FU,ERLOTINIB,7,17.22484698,3,0,1
5-FU_ERLOTINIB_NCIH520,5-FU,ERLOTINIB,16,7.235758199,3,0,1
5-FU_ERLOTINIB_OV90,5-FU,ERLOTINIB,18,-11.04004585,3,0,0
5-FU_ERLOTINIB_RKO,5-FU,ERLOTINIB,1,20.98757258,3,0,1
5-FU_ERLOTINIB_RPMI7951,5-FU,ERLOTINIB,15,17.00484175,3,0,1
5-FU_ERLOTINIB_SKMEL30,5-FU,ERLOTINIB,20,13.95488386,3,0,1
5-FU_ERLOTINIB_SKMES1,5-FU,ERLOTINIB,4,21.28942476,3,0,1
5-FU_ERLOTINIB_SKOV3,5-FU,ERLOTINIB,28,16.21061763,3,0,1
5-FU_ERLOTINIB_SW620,5-FU,ERLOTINIB,24,0.494890451,3,0,1
5-FU_ERLOTINIB_SW837,5-FU,ERLOTINIB,0,17.29938762,3,0,1
5-FU_ERLOTINIB_T47D,5-FU,ERLOTINIB,12,-3.049710368,3,0,0
5-FU_ERLOTINIB_UACC62,5-FU,ERLOTINIB,9,17.96898601,3,0,1
5-FU_ERLOTINIB_VCAP,5-FU,ERLOTINIB,27,24.41379314,3,0,1
5-FU_ERLOTINIB_ZR751,5-FU,ERLOTINIB,3,22.8306176,3,0,1
5-FU_GELDANAMYCIN_A2058,5-FU,GELDANAMYCIN,14,7.376709238,3,18,1
5-FU_GELDANAMYCIN_A2780,5-FU,GELDANAMYCIN,26,0.911963942,3,18,1
5-FU_GELDANAMYCIN_A375,5-FU,GELDANAMYCIN,13,7.160975098,3,18,1
5-FU_GELDANAMYCIN_CAOV3,5-FU,GELDANAMYCIN,19,-12.98670671,3,18,0
5-FU_GELDANAMYCIN_DLD1,5-FU,GELDANAMYCIN,5,2.433895807,3,18,1
5-FU_GELDANAMYCIN_ES2,5-FU,GELDANAMYCIN,10,-5.25702499,3,18,0
5-FU_GELDANAMYCIN_HCT116,5-FU,GELDANAMYCIN,2,2.916663442,3,18,1
5-FU_GELDANAMYCIN_HT144,5-FU,GELDANAMYCIN,21,5.372215888,3,18,1
5-FU_GELDANAMYCIN_HT29,5-FU,GELDANAMYCIN,23,-3.946071269,3,18,0
5-FU_GELDANAMYCIN_KPL1,5-FU,GELDANAMYCIN,22,2.330576841,3,18,1
5-FU_GELDANAMYCIN_LOVO,5-FU,GELDANAMYCIN,8,-6.353136659,3,18,0
5-FU_GELDANAMYCIN_MDAMB436,5-FU,GELDANAMYCIN,25,5.799105229,3,18,1
5-FU_GELDANAMYCIN_NCIH1650,5-FU,GELDANAMYCIN,6,-6.752269383,3,18,0
5-FU_GELDANAMYCIN_NCIH2122,5-FU,GELDANAMYCIN,17,-2.692734853,3,18,0
5-FU_GELDANAMYCIN_NCIH23,5-FU,GELDANAMYCIN,11,-9.33481084,3,18,0
5-FU_GELDANAMYCIN_NCIH460,5-FU,GELDANAMYCIN,7,-2.446804514,3,18,0
5-FU_GELDANAMYCIN_NCIH520,5-FU,GELDANAMYCIN,16,3.513037679,3,18,1
5-FU_GELDANAMYCIN_OV90,5-FU,GELDANAMYCIN,18,0.284508898,3,18,1
5-FU_GELDANAMYCIN_RKO,5-FU,GELDANAMYCIN,1,5.246180398,3,18,1
5-FU_GELDANAMYCIN_RPMI7951,5-FU,GELDANAMYCIN,15,-8.084247184,3,18,0
5-FU_GELDANAMYCIN_SKMEL30,5-FU,GELDANAMYCIN,20,-80.63896867,3,18,0
5-FU_GELDANAMYCIN_SKMES1,5-FU,GELDANAMYCIN,4,2.703605277,3,18,1
5-FU_GELDANAMYCIN_SKOV3,5-FU,GELDANAMYCIN,28,-9.188164195,3,18,0
5-FU_GELDANAMYCIN_SW620,5-FU,GELDANAMYCIN,24,-2.851271236,3,18,0
5-FU_GELDANAMYCIN_SW837,5-FU,GELDANAMYCIN,0,-10.01418099,3,18,0
5-FU_GELDANAMYCIN_T47D,5-FU,GELDANAMYCIN,12,30.67999441,3,18,1
5-FU_GELDANAMYCIN_UACC62,5-FU,GELDANAMYCIN,9,-1.345401011,3,18,0
5-FU_GELDANAMYCIN_VCAP,5-FU,GELDANAMYCIN,27,14.04451922,3,18,1
5-FU_GELDANAMYCIN_ZR751,5-FU,GELDANAMYCIN,3,-15.00928456,3,18,0
5-FU_LAPATINIB_A2058,5-FU,LAPATINIB,14,9.192138149,3,20,1
5-FU_LAPATINIB_A2780,5-FU,LAPATINIB,26,8.011124809,3,20,1
5-FU_LAPATINIB_A375,5-FU,LAPATINIB,13,7.497787303,3,20,1
5-FU_LAPATINIB_CAOV3,5-FU,LAPATINIB,19,-6.77752803,3,20,0
5-FU_LAPATINIB_DLD1,5-FU,LAPATINIB,5,11.55462668,3,20,1
5-FU_LAPATINIB_ES2,5-FU,LAPATINIB,10,5.344512472,3,20,1
5-FU_LAPATINIB_HCT116,5-FU,LAPATINIB,2,9.688038389,3,20,1
5-FU_LAPATINIB_HT144,5-FU,LAPATINIB,21,4.670574992,3,20,1
5-FU_LAPATINIB_HT29,5-FU,LAPATINIB,23,4.533085635,3,20,1
5-FU_LAPATINIB_KPL1,5-FU,LAPATINIB,22,-9.537311313,3,20,0
5-FU_LAPATINIB_LOVO,5-FU,LAPATINIB,8,17.4905864,3,20,1
5-FU_LAPATINIB_MDAMB436,5-FU,LAPATINIB,25,3.644635579,3,20,1
5-FU_LAPATINIB_NCIH1650,5-FU,LAPATINIB,6,0.905817371,3,20,1
5-FU_LAPATINIB_NCIH2122,5-FU,LAPATINIB,17,9.956195978,3,20,1
5-FU_LAPATINIB_NCIH23,5-FU,LAPATINIB,11,-8.734799525,3,20,0
5-FU_LAPATINIB_NCIH460,5-FU,LAPATINIB,7,-2.035012581,3,20,0
5-FU_LAPATINIB_NCIH520,5-FU,LAPATINIB,16,-7.263521908,3,20,0
5-FU_LAPATINIB_OV90,5-FU,LAPATINIB,18,-9.295070254,3,20,0
5-FU_LAPATINIB_RKO,5-FU,LAPATINIB,1,11.54453602,3,20,1
5-FU_LAPATINIB_RPMI7951,5-FU,LAPATINIB,15,3.318764866,3,20,1
5-FU_LAPATINIB_SKMEL30,5-FU,LAPATINIB,20,9.483503745,3,20,1
5-FU_LAPATINIB_SKMES1,5-FU,LAPATINIB,4,11.05964102,3,20,1
5-FU_LAPATINIB_SKOV3,5-FU,LAPATINIB,28,7.118783779,3,20,1
5-FU_LAPATINIB_SW620,5-FU,LAPATINIB,24,-2.41819166,3,20,0
5-FU_LAPATINIB_SW837,5-FU,LAPATINIB,0,6.956325429,3,20,1
5-FU_LAPATINIB_T47D,5-FU,LAPATINIB,12,14.90928278,3,20,1
5-FU_LAPATINIB_UACC62,5-FU,LAPATINIB,9,9.119946303,3,20,1
5-FU_LAPATINIB_VCAP,5-FU,LAPATINIB,27,10.63255814,3,20,1
5-FU_LAPATINIB_ZR751,5-FU,LAPATINIB,3,14.67630666,3,20,1
5-FU_SORAFENIB_A2058,5-FU,SORAFENIB,14,1.487456177,3,1,1
5-FU_SORAFENIB_A2780,5-FU,SORAFENIB,26,2.077318362,3,1,1
5-FU_SORAFENIB_A375,5-FU,SORAFENIB,13,1.312446684,3,1,1
5-FU_SORAFENIB_CAOV3,5-FU,SORAFENIB,19,-16.67220342,3,1,0
5-FU_SORAFENIB_DLD1,5-FU,SORAFENIB,5,6.320510556,3,1,1
5-FU_SORAFENIB_ES2,5-FU,SORAFENIB,10,0.126680077,3,1,1
5-FU_SORAFENIB_HCT116,5-FU,SORAFENIB,2,-1.955025391,3,1,0
5-FU_SORAFENIB_HT144,5-FU,SORAFENIB,21,4.459502599,3,1,1
5-FU_SORAFENIB_HT29,5-FU,SORAFENIB,23,-3.551610833,3,1,0
5-FU_SORAFENIB_KPL1,5-FU,SORAFENIB,22,-5.046283575,3,1,0
5-FU_SORAFENIB_LOVO,5-FU,SORAFENIB,8,-13.81534377,3,1,0
5-FU_SORAFENIB_MDAMB436,5-FU,SORAFENIB,25,-4.304317076,3,1,0
5-FU_SORAFENIB_NCIH1650,5-FU,SORAFENIB,6,-2.500149835,3,1,0
5-FU_SORAFENIB_NCIH2122,5-FU,SORAFENIB,17,-3.768823231,3,1,0
5-FU_SORAFENIB_NCIH23,5-FU,SORAFENIB,11,-1.286810998,3,1,0
5-FU_SORAFENIB_NCIH460,5-FU,SORAFENIB,7,-0.895637539,3,1,0
5-FU_SORAFENIB_NCIH520,5-FU,SORAFENIB,16,5.28680143,3,1,1
5-FU_SORAFENIB_OV90,5-FU,SORAFENIB,18,2.416837201,3,1,1
5-FU_SORAFENIB_RKO,5-FU,SORAFENIB,1,1.883583913,3,1,1
5-FU_SORAFENIB_RPMI7951,5-FU,SORAFENIB,15,-5.041472651,3,1,0
5-FU_SORAFENIB_SKMEL30,5-FU,SORAFENIB,20,2.120028283,3,1,1
5-FU_SORAFENIB_SKMES1,5-FU,SORAFENIB,4,0.28515445,3,1,1
5-FU_SORAFENIB_SKOV3,5-FU,SORAFENIB,28,10.2363359,3,1,1
5-FU_SORAFENIB_SW620,5-FU,SORAFENIB,24,0.574152697,3,1,1
5-FU_SORAFENIB_SW837,5-FU,SORAFENIB,0,-8.60896251,3,1,0
5-FU_SORAFENIB_T47D,5-FU,SORAFENIB,12,-4.531377558,3,1,0
5-FU_SORAFENIB_UACC62,5-FU,SORAFENIB,9,0.326449314,3,1,1
5-FU_SORAFENIB_VCAP,5-FU,SORAFENIB,27,1.444307744,3,1,1
5-FU_SORAFENIB_ZR751,5-FU,SORAFENIB,3,-11.36179266,3,1,0
5-FU_SUNITINIB_A2058,5-FU,SUNITINIB,14,9.621620126,3,6,1
5-FU_SUNITINIB_A2780,5-FU,SUNITINIB,26,9.700986375,3,6,1
5-FU_SUNITINIB_A375,5-FU,SUNITINIB,13,7.351048597,3,6,1
5-FU_SUNITINIB_CAOV3,5-FU,SUNITINIB,19,5.092136253,3,6,1
5-FU_SUNITINIB_DLD1,5-FU,SUNITINIB,5,10.90526109,3,6,1
5-FU_SUNITINIB_ES2,5-FU,SUNITINIB,10,14.41382075,3,6,1
5-FU_SUNITINIB_HCT116,5-FU,SUNITINIB,2,7.332783493,3,6,1
5-FU_SUNITINIB_HT144,5-FU,SUNITINIB,21,4.677389118,3,6,1
5-FU_SUNITINIB_HT29,5-FU,SUNITINIB,23,3.379046398,3,6,1
5-FU_SUNITINIB_KPL1,5-FU,SUNITINIB,22,7.229487797,3,6,1
5-FU_SUNITINIB_LOVO,5-FU,SUNITINIB,8,2.082310176,3,6,1
5-FU_SUNITINIB_MDAMB436,5-FU,SUNITINIB,25,5.231389265,3,6,1
5-FU_SUNITINIB_NCIH1650,5-FU,SUNITINIB,6,4.374037921,3,6,1
5-FU_SUNITINIB_NCIH2122,5-FU,SUNITINIB,17,5.838627875,3,6,1
5-FU_SUNITINIB_NCIH23,5-FU,SUNITINIB,11,3.141670668,3,6,1
5-FU_SUNITINIB_NCIH460,5-FU,SUNITINIB,7,7.129324107,3,6,1
5-FU_SUNITINIB_NCIH520,5-FU,SUNITINIB,16,5.810341082,3,6,1
5-FU_SUNITINIB_OV90,5-FU,SUNITINIB,18,3.664358548,3,6,1
5-FU_SUNITINIB_RKO,5-FU,SUNITINIB,1,7.996355114,3,6,1
5-FU_SUNITINIB_RPMI7951,5-FU,SUNITINIB,15,-1.343261089,3,6,0
5-FU_SUNITINIB_SKMEL30,5-FU,SUNITINIB,20,3.667165234,3,6,1
5-FU_SUNITINIB_SKMES1,5-FU,SUNITINIB,4,11.90261481,3,6,1
5-FU_SUNITINIB_SKOV3,5-FU,SUNITINIB,28,18.2643848,3,6,1
5-FU_SUNITINIB_SW620,5-FU,SUNITINIB,24,6.859498039,3,6,1
5-FU_SUNITINIB_SW837,5-FU,SUNITINIB,0,-4.901836837,3,6,0
5-FU_SUNITINIB_T47D,5-FU,SUNITINIB,12,8.941154332,3,6,1
5-FU_SUNITINIB_UACC62,5-FU,SUNITINIB,9,8.795687473,3,6,1
5-FU_SUNITINIB_VCAP,5-FU,SUNITINIB,27,12.48379896,3,6,1
5-FU_SUNITINIB_ZR751,5-FU,SUNITINIB,3,6.169627433,3,6,1
5-FU_ZOLINZA_A2058,5-FU,ZOLINZA,14,-5.508119589,3,9,0
5-FU_ZOLINZA_A2780,5-FU,ZOLINZA,26,-3.848401273,3,9,0
5-FU_ZOLINZA_A375,5-FU,ZOLINZA,13,0.369467134,3,9,1
5-FU_ZOLINZA_CAOV3,5-FU,ZOLINZA,19,-3.518537503,3,9,0
5-FU_ZOLINZA_DLD1,5-FU,ZOLINZA,5,0.049805671,3,9,1
5-FU_ZOLINZA_ES2,5-FU,ZOLINZA,10,-1.689816761,3,9,0
5-FU_ZOLINZA_HCT116,5-FU,ZOLINZA,2,-8.735905545,3,9,0
5-FU_ZOLINZA_HT144,5-FU,ZOLINZA,21,-4.394725666,3,9,0
5-FU_ZOLINZA_HT29,5-FU,ZOLINZA,23,-1.42768389,3,9,0
5-FU_ZOLINZA_KPL1,5-FU,ZOLINZA,22,-4.343384834,3,9,0
5-FU_ZOLINZA_LOVO,5-FU,ZOLINZA,8,-8.398048463,3,9,0
5-FU_ZOLINZA_MDAMB436,5-FU,ZOLINZA,25,4.86044214,3,9,1
5-FU_ZOLINZA_NCIH1650,5-FU,ZOLINZA,6,0.631303772,3,9,1
5-FU_ZOLINZA_NCIH2122,5-FU,ZOLINZA,17,10.65626958,3,9,1
5-FU_ZOLINZA_NCIH23,5-FU,ZOLINZA,11,-15.10567636,3,9,0
5-FU_ZOLINZA_NCIH460,5-FU,ZOLINZA,7,7.057218329,3,9,1
5-FU_ZOLINZA_NCIH520,5-FU,ZOLINZA,16,-7.702952771,3,9,0
5-FU_ZOLINZA_OV90,5-FU,ZOLINZA,18,-0.210268239,3,9,0
5-FU_ZOLINZA_RKO,5-FU,ZOLINZA,1,11.04834069,3,9,1
5-FU_ZOLINZA_RPMI7951,5-FU,ZOLINZA,15,-0.240638175,3,9,0
5-FU_ZOLINZA_SKMEL30,5-FU,ZOLINZA,20,-4.880397628,3,9,0
5-FU_ZOLINZA_SKMES1,5-FU,ZOLINZA,4,14.06216364,3,9,1
5-FU_ZOLINZA_SKOV3,5-FU,ZOLINZA,28,5.702955068,3,9,1
5-FU_ZOLINZA_SW620,5-FU,ZOLINZA,24,-17.22800516,3,9,0
5-FU_ZOLINZA_SW837,5-FU,ZOLINZA,0,-3.532158377,3,9,0
5-FU_ZOLINZA_T47D,5-FU,ZOLINZA,12,7.530007948,3,9,1
5-FU_ZOLINZA_UACC62,5-FU,ZOLINZA,9,3.932423451,3,9,1
5-FU_ZOLINZA_VCAP,5-FU,ZOLINZA,27,22.99565591,3,9,1
5-FU_ZOLINZA_ZR751,5-FU,ZOLINZA,3,-20.67751276,3,9,0
ABT-888_GELDANAMYCIN_A2058,ABT-888,GELDANAMYCIN,14,22.66972082,5,18,1
ABT-888_GELDANAMYCIN_A2780,ABT-888,GELDANAMYCIN,26,11.09323155,5,18,1
ABT-888_GELDANAMYCIN_A375,ABT-888,GELDANAMYCIN,13,11.68003927,5,18,1
ABT-888_GELDANAMYCIN_CAOV3,ABT-888,GELDANAMYCIN,19,16.7029633,5,18,1
ABT-888_GELDANAMYCIN_DLD1,ABT-888,GELDANAMYCIN,5,3.978183476,5,18,1
ABT-888_GELDANAMYCIN_ES2,ABT-888,GELDANAMYCIN,10,0.337882732,5,18,1
ABT-888_GELDANAMYCIN_HCT116,ABT-888,GELDANAMYCIN,2,22.97216302,5,18,1
ABT-888_GELDANAMYCIN_HT144,ABT-888,GELDANAMYCIN,21,2.985761376,5,18,1
ABT-888_GELDANAMYCIN_HT29,ABT-888,GELDANAMYCIN,23,-4.782981467,5,18,0
ABT-888_GELDANAMYCIN_KPL1,ABT-888,GELDANAMYCIN,22,15.32356048,5,18,1
ABT-888_GELDANAMYCIN_LOVO,ABT-888,GELDANAMYCIN,8,13.06813937,5,18,1
ABT-888_GELDANAMYCIN_MDAMB436,ABT-888,GELDANAMYCIN,25,17.35034091,5,18,1
ABT-888_GELDANAMYCIN_NCIH1650,ABT-888,GELDANAMYCIN,6,-5.261806453,5,18,0
ABT-888_GELDANAMYCIN_NCIH2122,ABT-888,GELDANAMYCIN,17,6.877978069,5,18,1
ABT-888_GELDANAMYCIN_NCIH23,ABT-888,GELDANAMYCIN,11,-6.233105646,5,18,0
ABT-888_GELDANAMYCIN_NCIH460,ABT-888,GELDANAMYCIN,7,-2.126961774,5,18,0
ABT-888_GELDANAMYCIN_NCIH520,ABT-888,GELDANAMYCIN,16,-1.957498827,5,18,0
ABT-888_GELDANAMYCIN_OV90,ABT-888,GELDANAMYCIN,18,-8.587738631,5,18,0
ABT-888_GELDANAMYCIN_RKO,ABT-888,GELDANAMYCIN,1,33.83147768,5,18,1
ABT-888_GELDANAMYCIN_RPMI7951,ABT-888,GELDANAMYCIN,15,0.646568958,5,18,1
ABT-888_GELDANAMYCIN_SKMEL30,ABT-888,GELDANAMYCIN,20,30.34189343,5,18,1
ABT-888_GELDANAMYCIN_SKMES1,ABT-888,GELDANAMYCIN,4,7.808516678,5,18,1
ABT-888_GELDANAMYCIN_SKOV3,ABT-888,GELDANAMYCIN,28,-10.74656256,5,18,0
ABT-888_GELDANAMYCIN_SW620,ABT-888,GELDANAMYCIN,24,-15.0026455,5,18,0
ABT-888_GELDANAMYCIN_SW837,ABT-888,GELDANAMYCIN,0,6.088914754,5,18,1
ABT-888_GELDANAMYCIN_T47D,ABT-888,GELDANAMYCIN,12,-27.25381749,5,18,0
ABT-888_GELDANAMYCIN_UACC62,ABT-888,GELDANAMYCIN,9,4.172844076,5,18,1
ABT-888_GELDANAMYCIN_VCAP,ABT-888,GELDANAMYCIN,27,10.28090348,5,18,1
ABT-888_GELDANAMYCIN_ZR751,ABT-888,GELDANAMYCIN,3,-17.08015794,5,18,0
ABT-888_SN-38_A2058,ABT-888,SN-38,14,37.19755244,5,14,1
ABT-888_SN-38_A2780,ABT-888,SN-38,26,27.44316256,5,14,1
ABT-888_SN-38_A375,ABT-888,SN-38,13,29.45915958,5,14,1
ABT-888_SN-38_CAOV3,ABT-888,SN-38,19,41.82261363,5,14,1
ABT-888_SN-38_DLD1,ABT-888,SN-38,5,8.203345162,5,14,1
ABT-888_SN-38_ES2,ABT-888,SN-38,10,4.098810775,5,14,1
ABT-888_SN-38_HCT116,ABT-888,SN-38,2,23.42591491,5,14,1
