synergy,drug1_db,drug2_db,proteinsInCommon
4.1875,DB01229,DB00530,0
0.67,DB01229,DB02424,0
5.665,DB01229,DB01259,0
5.3925,DB01229,DB00398,0
6.03,DB01229,DB01268,0
6.1425,DB01268,DB00188,0
15.355,DB01268,DB01254,34
12.2275,DB01268,DB00530,36
6.17,DB01268,DB02424,0
17.3475,DB01268,DB01259,5
2.3625,DB01268,DB00398,40
4.2425,DB00570,DB00188,0
9.4425,DB00570,DB01254,0
10.5925,DB00570,DB00530,0
3.0275,DB00570,DB02424,0
8.0425,DB00570,DB01259,0
5.5925,DB00570,DB00398,0
6.3175,DB00570,DB01268,0
2.22,DB00361,DB00188,0
6.845,DB00361,DB01254,0
5.4375,DB00361,DB00530,0
1.44,DB00361,DB02424,0
5.8925,DB00361,DB01259,0
1.69,DB00361,DB00398,0
5.1375,DB00361,DB01268,0
0.9975,DB00544,DB00188,0
0.1925,DB00544,DB01254,0
1.12,DB00544,DB00530,0
6.2925,DB00544,DB02424,0
-0.8575,DB00544,DB01259,0
7.2025,DB00544,DB00398,0
7.425,DB00544,DB01268,0
-1.65,DB00188,DB01254,0
3.785,DB00188,DB02424,0
8.0675,DB00188,DB00398,0
9.8675,DB01254,DB02424,0
13.25,DB01254,DB00398,29
3.32,DB01234,DB00188,0
13.6625,DB01234,DB01254,0
-1.9475,DB01234,DB00530,0
5.59,DB01234,DB02424,0
0.11,DB01234,DB01259,0
13.375,DB01234,DB00398,0
16.555,DB01234,DB01268,0
-0.1025,DB00997,DB00188,0
-4.7025,DB00997,DB01254,1
-5.645,DB00997,DB00530,1
-2.4225,DB00997,DB02424,0
-3.9125,DB00997,DB01259,0
-16.425,DB00997,DB00398,0
-17.505,DB00997,DB01268,1
-0.2325,DB00530,DB00188,0
-2.415,DB00530,DB01254,27
10.1875,DB00530,DB02424,0
8.5525,DB00530,DB00398,24
0.0675,DB00773,DB00188,0
5.2025,DB00773,DB01254,0
6.8,DB00773,DB00530,0
0.365,DB00773,DB02424,0
3.175,DB00773,DB01259,0
1.3875,DB00773,DB00398,0
-1.3525,DB00773,DB01268,0
6.835,DB02424,DB00398,0
3.1625,DB01259,DB00188,0
-3.375,DB01259,DB01254,6
-5.1725,DB01259,DB00530,8
9.0575,DB01259,DB02424,0
7.975,DB01259,DB00398,4
-0.7575,DB00331,DB00188,0
-2.735,DB00331,DB01254,0
-3.3975,DB00331,DB00530,0
0.9775,DB00331,DB02424,0
-2.0175,DB00331,DB01259,0
8.3,DB00331,DB00398,0
4.9275,DB00331,DB01268,0
3.4575,DB00563,DB00188,0
0.2,DB00563,DB01254,0
10.26,DB00563,DB00530,0
5.0325,DB00563,DB02424,0
9.2575,DB00563,DB01259,0
6.9325,DB00563,DB00398,0
-2.295,DB00563,DB01268,0
-0.9375,DB01229,DB00188,0
5.08,DB01229,DB01254,0
9.9375,DB01229,DB00530,0
-0.54,DB01229,DB02424,0
17.83,DB01229,DB01259,0
10.055,DB01229,DB00398,0
8.3475,DB01229,DB01268,0
2.7225,DB01268,DB00188,0
14.285,DB01268,DB01254,34
7.29,DB01268,DB00530,36
9.9425,DB01268,DB02424,0
9.1225,DB01268,DB01259,5
9.525,DB01268,DB00398,40
1.4525,DB00570,DB00188,0
-0.4475,DB00570,DB01254,0
9.4075,DB00570,DB00530,0
4.5025,DB00570,DB02424,0
6.7325,DB00570,DB01259,0
11.075,DB00570,DB00398,0
0.17,DB00570,DB01268,0
1.515,DB00361,DB00188,0
6.54,DB00361,DB01254,0
12.69,DB00361,DB00530,0
8.6425,DB00361,DB02424,0
13.7925,DB00361,DB01259,0
8.6825,DB00361,DB00398,0
4.41,DB00361,DB01268,0
1.1375,DB00544,DB00188,0
4.4575,DB00544,DB01254,0
-1.1275,DB00544,DB00530,0
1.09,DB00544,DB02424,0
-1.61,DB00544,DB01259,0
5.51,DB00544,DB00398,0
10.085,DB00544,DB01268,0
1.795,DB00188,DB01254,0
3.9875,DB00188,DB02424,0
3.91,DB00188,DB00398,0
-4.565,DB01254,DB02424,0
6.7125,DB01254,DB00398,29
-5.1325,DB01234,DB00188,0
5.3275,DB01234,DB01254,0
-3.7175,DB01234,DB00530,0
-2.92,DB01234,DB02424,0
5.6325,DB01234,DB01259,0
11.0975,DB01234,DB00398,0
-4.3175,DB01234,DB01268,0
0.2175,DB00997,DB00188,0
0.9475,DB00997,DB01254,1
0.125,DB00997,DB00530,1
-1.35,DB00997,DB02424,0
6.675,DB00997,DB01259,0
-2.3,DB00997,DB00398,0
-1.97,DB00997,DB01268,1
1.0425,DB00530,DB00188,0
-2.6875,DB00530,DB01254,27
4.61,DB00530,DB02424,0
8.37,DB00530,DB00398,24
4.3175,DB00773,DB00188,0
5.6375,DB00773,DB01254,0
4.815,DB00773,DB00530,0
6.0475,DB00773,DB02424,0
8.3425,DB00773,DB01259,0
7.22,DB00773,DB00398,0
5.26,DB00773,DB01268,0
8.285,DB02424,DB00398,0
1.9975,DB01259,DB00188,0
3.7375,DB01259,DB01254,6
-3.0825,DB01259,DB00530,8
8.405,DB01259,DB02424,0
9.415,DB01259,DB00398,4
1.915,DB00331,DB00188,0
-0.485,DB00331,DB01254,0
-0.5225,DB00331,DB00530,0
2.565,DB00331,DB02424,0
-3.8075,DB00331,DB01259,0
7.535,DB00331,DB00398,0
3.1675,DB00331,DB01268,0
2.565,DB00563,DB00188,0
-7.365,DB00563,DB01254,0
-9.41,DB00563,DB00530,0
-0.8175,DB00563,DB02424,0
-5.3675,DB00563,DB01259,0
1.2725,DB00563,DB00398,0
-4.515,DB00563,DB01268,0
2.9075,DB01229,DB00188,0
0.23,DB01229,DB01254,0
1.3275,DB01229,DB00530,0
0.16,DB01229,DB02424,0
7.1325,DB01229,DB01259,0
2.2925,DB01229,DB00398,0
0.47,DB01229,DB01268,0
4.66,DB01268,DB00188,0
-2.7175,DB01268,DB01254,34
-1.61,DB01268,DB00530,36
9.065,DB01268,DB02424,0
9.74,DB01268,DB01259,5
4.355,DB01268,DB00398,40
4.1575,DB00570,DB00188,0
-2.505,DB00570,DB01254,0
6.4625,DB00570,DB00530,0
2.83,DB00570,DB02424,0
3.145,DB00570,DB01259,0
7.5775,DB00570,DB00398,0
1.815,DB00570,DB01268,0
2.5525,DB00361,DB00188,0
-4.01,DB00361,DB01254,0
0.765,DB00361,DB00530,0
1.91,DB00361,DB02424,0
2.7675,DB00361,DB01259,0
1.855,DB00361,DB00398,0
-0.795,DB00361,DB01268,0
7.72,DB00544,DB00188,0
5.1975,DB00544,DB01254,0
3.96,DB00544,DB00530,0
3.05,DB00544,DB02424,0
2.7075,DB00544,DB01259,0
-2.4225,DB00544,DB00398,0
6.7175,DB00544,DB01268,0
13.38,DB00188,DB01254,0
19.7325,DB00188,DB02424,0
6.135,DB00188,DB00398,0
4.4575,DB01254,DB02424,0
2.52,DB01254,DB00398,29
18.53,DB01234,DB00188,0
2.9575,DB01234,DB01254,0
3.33,DB01234,DB00530,0
1.9725,DB01234,DB02424,0
4.3775,DB01234,DB01259,0
2.07,DB01234,DB00398,0
11.0825,DB01234,DB01268,0
10.2525,DB00997,DB00188,0
12.815,DB00997,DB01254,1
-11.0325,DB00997,DB00530,1
4.1725,DB00997,DB02424,0
4.1975,DB00997,DB01259,0
-10.72,DB00997,DB00398,0
1.15,DB00997,DB01268,1
13.12,DB00530,DB00188,0
7.47,DB00530,DB01254,27
3.755,DB00530,DB02424,0
-0.4275,DB00530,DB00398,24
12.6875,DB00773,DB00188,0
0.13,DB00773,DB01254,0
3.8025,DB00773,DB00530,0
-0.675,DB00773,DB02424,0
8.65,DB00773,DB01259,0
-1.47,DB00773,DB00398,0
6.58,DB00773,DB01268,0
1.5125,DB02424,DB00398,0
22.55,DB01259,DB00188,0
7.475,DB01259,DB01254,6
0.9425,DB01259,DB00530,8
12.2875,DB01259,DB02424,0
3.265,DB01259,DB00398,4
4.1925,DB00331,DB00188,0
3.7875,DB00331,DB01254,0
3.35,DB00331,DB00530,0
1.8425,DB00331,DB02424,0
7.1575,DB00331,DB01259,0
2.8025,DB00331,DB00398,0
10.225,DB00331,DB01268,0
4.5225,DB00563,DB00188,0
2.3075,DB00563,DB01254,0
1.3725,DB00563,DB00530,0
1.78,DB00563,DB02424,0
2.4075,DB00563,DB01259,0
-1.535,DB00563,DB00398,0
-0.5325,DB00563,DB01268,0
14.225,DB01229,DB00188,0
3.3375,DB01229,DB01254,0
7.965,DB01229,DB00530,0
2.1225,DB01229,DB02424,0
20.705,DB01229,DB01259,0
1.58,DB01229,DB00398,0
13.355,DB01229,DB01268,0
16.0825,DB01268,DB00188,0
14.695,DB01268,DB01254,34
8.54,DB01268,DB00530,36
10.8475,DB01268,DB02424,0
12.0325,DB01268,DB01259,5
3.6725,DB01268,DB00398,40
15.525,DB00570,DB00188,0
3.735,DB00570,DB01254,0
10.7275,DB00570,DB00530,0
2.0325,DB00570,DB02424,0
7.4575,DB00570,DB01259,0
5.105,DB00570,DB00398,0
15.1925,DB00570,DB01268,0
15.7075,DB00361,DB00188,0
4.5975,DB00361,DB01254,0
14.045,DB00361,DB00530,0
2.27,DB00361,DB02424,0
16.5475,DB00361,DB01259,0
4.775,DB00361,DB00398,0
15.1525,DB00361,DB01268,0
2.1625,DB00544,DB00188,0
4.585,DB00544,DB01254,0
1.4,DB00544,DB00530,0
-2.41,DB00544,DB02424,0
0.05,DB00544,DB01259,0
5.7275,DB00544,DB00398,0
6.5725,DB00544,DB01268,0
1.9175,DB00188,DB01254,0
0.5025,DB00188,DB02424,0
4.9575,DB00188,DB00398,0
2.1325,DB01254,DB02424,0
8.6425,DB01254,DB00398,29
2.32,DB01234,DB00188,0
3.1325,DB01234,DB01254,0
2.025,DB01234,DB00530,0
2.2875,DB01234,DB02424,0
-0.92,DB01234,DB01259,0
12.095,DB01234,DB00398,0
13.9475,DB01234,DB01268,0
0.395,DB00997,DB00188,0
0.7325,DB00997,DB01254,1
-5.2875,DB00997,DB00530,1
-5.6775,DB00997,DB02424,0
2.3675,DB00997,DB01259,0
-0.7375,DB00997,DB00398,0
-7.1725,DB00997,DB01268,1
1.67,DB00530,DB00188,0
15.925,DB00530,DB01254,27
5.9125,DB00530,DB02424,0
8.4575,DB00530,DB00398,24
0.9625,DB00773,DB00188,0
2.825,DB00773,DB01254,0
3.6375,DB00773,DB00530,0
-2.1925,DB00773,DB02424,0
8.9,DB00773,DB01259,0
5.835,DB00773,DB00398,0
-4.9775,DB00773,DB01268,0
7.75,DB02424,DB00398,0
2.665,DB01259,DB00188,0
16.68,DB01259,DB01254,6
2.105,DB01259,DB00530,8
8.415,DB01259,DB02424,0
13.1475,DB01259,DB00398,4
1.8425,DB00331,DB00188,0
3.9125,DB00331,DB01254,0
3.41,DB00331,DB00530,0
2.5975,DB00331,DB02424,0
-2.08,DB00331,DB01259,0
9.025,DB00331,DB00398,0
3.64,DB00331,DB01268,0
0.8825,DB00563,DB00188,0
-3.2975,DB00563,DB01254,0
-1.565,DB00563,DB00530,0
-1.6575,DB00563,DB02424,0
-3.265,DB00563,DB01259,0
6.5475,DB00563,DB00398,0
-3.7425,DB00563,DB01268,0
1.9325,DB01229,DB00188,0
7.0025,DB01229,DB01254,0
6.7325,DB01229,DB00530,0
-3.28,DB01229,DB02424,0
16.85,DB01229,DB01259,0
10.2825,DB01229,DB00398,0
5.0825,DB01229,DB01268,0
1.84,DB01268,DB00188,0
14.785,DB01268,DB01254,34
11.0625,DB01268,DB00530,36
9.1175,DB01268,DB02424,0
14.1625,DB01268,DB01259,5
6.1625,DB01268,DB00398,40
0.235,DB00570,DB00188,0
4.87,DB00570,DB01254,0
6.545,DB00570,DB00530,0
-4.4275,DB00570,DB02424,0
7.4275,DB00570,DB01259,0
12.42,DB00570,DB00398,0
3.8675,DB00570,DB01268,0
-1.8225,DB00361,DB00188,0
5.2875,DB00361,DB01254,0
14.105,DB00361,DB00530,0
-4.78,DB00361,DB02424,0
10.22,DB00361,DB01259,0
10.1975,DB00361,DB00398,0
8.1725,DB00361,DB01268,0
4.4425,DB00544,DB00188,0
0.96,DB00544,DB01254,0
8.9825,DB00544,DB00530,0
-4.03,DB00544,DB02424,0
-0.04,DB00544,DB01259,0
2.015,DB00544,DB00398,0
9.585,DB00544,DB01268,0
7.015,DB00188,DB01254,0
5.66,DB00188,DB02424,0
5.5025,DB00188,DB00398,0
-0.255,DB01254,DB02424,0
7.1725,DB01254,DB00398,29
13.79,DB01234,DB00188,0
4.6425,DB01234,DB01254,0
9.2125,DB01234,DB00530,0
10.7175,DB01234,DB02424,0
3.995,DB01234,DB01259,0
11.2525,DB01234,DB00398,0
13.53,DB01234,DB01268,0
1.9625,DB00997,DB00188,0
1.1925,DB00997,DB01254,1
2.5675,DB00997,DB00530,1
0.7175,DB00997,DB02424,0
0.85,DB00997,DB01259,0
-2.0275,DB00997,DB00398,0
-2.58,DB00997,DB01268,1
8.0225,DB00530,DB00188,0
9.185,DB00530,DB01254,27
8.035,DB00530,DB02424,0
8.315,DB00530,DB00398,24
2.895,DB00773,DB00188,0
-0.9125,DB00773,DB01254,0
11.16,DB00773,DB00530,0
3.89,DB00773,DB02424,0
2.6325,DB00773,DB01259,0
1.11,DB00773,DB00398,0
-3.0225,DB00773,DB01268,0
4.1325,DB02424,DB00398,0
8.69,DB01259,DB00188,0
-2.84,DB01259,DB01254,6
1.5675,DB01259,DB00530,8
2.5875,DB01259,DB02424,0
6.815,DB01259,DB00398,4
5.6325,DB00331,DB00188,0
-2.27,DB00331,DB01254,0
2.5425,DB00331,DB00530,0
-4.4175,DB00331,DB02424,0
-2.7,DB00331,DB01259,0
4.35,DB00331,DB00398,0
2.565,DB00331,DB01268,0
4.25,DB00563,DB00188,0
4.06,DB00563,DB01254,0
13.155,DB00563,DB00530,0
0.4325,DB00563,DB02424,0
7.9875,DB00563,DB01259,0
5.6175,DB00563,DB00398,0
0.595,DB00563,DB01268,0
3.695,DB01229,DB00188,0
6.45,DB01229,DB01254,0
13.4375,DB01229,DB00530,0
4.7375,DB01229,DB02424,0
15.095,DB01229,DB01259,0
7.0925,DB01229,DB00398,0
10.2625,DB01229,DB01268,0
4.425,DB01268,DB00188,0
13.625,DB01268,DB01254,34
13.005,DB01268,DB00530,36
8.1575,DB01268,DB02424,0
4.0125,DB01268,DB01259,5
5.405,DB01268,DB00398,40
3.8225,DB00570,DB00188,0
0.53,DB00570,DB01254,0
13.3875,DB00570,DB00530,0
-3.81,DB00570,DB02424,0
4.425,DB00570,DB01259,0
10.275,DB00570,DB00398,0
1.0475,DB00570,DB01268,0
5.2525,DB00361,DB00188,0
8.02,DB00361,DB01254,0
16.3025,DB00361,DB00530,0
1.4675,DB00361,DB02424,0
12.4825,DB00361,DB01259,0
7.5975,DB00361,DB00398,0
9.6075,DB00361,DB01268,0
0.598,DB00544,DB00188,0
3.512,DB00544,DB01254,0
2.558,DB00544,DB00530,0
2.95,DB00544,DB02424,0
-1.694,DB00544,DB01259,0
1.818,DB00544,DB00398,0
7.964,DB00544,DB01268,0
2.3225,DB00188,DB01254,0
1.7325,DB00188,DB02424,0
1.58,DB00188,DB00398,0
14.845,DB01254,DB02424,0
9.764,DB01254,DB00398,29
0.6475,DB01234,DB00188,0
1.18,DB01234,DB01254,0
-5.1925,DB01234,DB00530,0
-0.395,DB01234,DB02424,0
-4.47,DB01234,DB01259,0
0.24,DB01234,DB00398,0
3.795,DB01234,DB01268,0
0.5675,DB00997,DB00188,0
7.7325,DB00997,DB01254,1
3.105,DB00997,DB00530,1
0.5775,DB00997,DB02424,0
2.76,DB00997,DB01259,0
-4.0425,DB00997,DB00398,0
-0.4825,DB00997,DB01268,1
1.192,DB00530,DB00188,0
1.185,DB00530,DB01254,27
9.835,DB00530,DB02424,0
2.0775,DB00530,DB00398,24
1.265,DB00773,DB00188,0
9.3775,DB00773,DB01254,0
9.15,DB00773,DB00530,0
2.2625,DB00773,DB02424,0
5.575,DB00773,DB01259,0
2.7825,DB00773,DB00398,0
5.4475,DB00773,DB01268,0
3.0575,DB02424,DB00398,0
-0.988,DB01259,DB00188,0
-0.695,DB01259,DB01254,6
-3.294,DB01259,DB00530,8
3.005,DB01259,DB02424,0
4.1,DB01259,DB00398,4
-0.67,DB00331,DB00188,0
2.575,DB00331,DB01254,0
-3.9225,DB00331,DB00530,0
-0.555,DB00331,DB02424,0
-2.4475,DB00331,DB01259,0
2.7125,DB00331,DB00398,0
5.3225,DB00331,DB01268,0
-2.666,DB00563,DB00188,0
-4.5825,DB00563,DB01254,0
-0.55,DB00563,DB00530,0
-6.435,DB00563,DB02424,0
-3.88,DB00563,DB01259,0
-3.86,DB00563,DB00398,0
-4.9625,DB00563,DB01268,0
0.532,DB01229,DB00188,0
5.616,DB01229,DB01254,0
-1.2,DB01229,DB00530,0
0.2175,DB01229,DB02424,0
5.874,DB01229,DB01259,0
5.922,DB01229,DB00398,0
7.914,DB01229,DB01268,0
2.088,DB01268,DB00188,0
22.5775,DB01268,DB01254,34
4.282,DB01268,DB00530,36
14.85,DB01268,DB02424,0
7.77,DB01268,DB01259,5
8.27,DB01268,DB00398,40
-0.4475,DB00570,DB00188,0
-0.3025,DB00570,DB01254,0
11.77,DB00570,DB00530,0
-2.065,DB00570,DB02424,0
-1.13,DB00570,DB01259,0
10.1525,DB00570,DB00398,0
5.3275,DB00570,DB01268,0
1.4125,DB00361,DB00188,0
6.145,DB00361,DB01254,0
6.2975,DB00361,DB00530,0
2.51,DB00361,DB02424,0
2.495,DB00361,DB01259,0
4.13,DB00361,DB00398,0
8.5725,DB00361,DB01268,0
-4.0125,DB00544,DB00188,0
2.3975,DB00544,DB01254,0
-1.59,DB00544,DB00530,0
3.205,DB00544,DB02424,0
-4.885,DB00544,DB01259,0
1.7125,DB00544,DB00398,0
-0.225,DB00544,DB01268,0
5.27,DB00188,DB01254,0
1.9875,DB00188,DB02424,0
3.3025,DB00188,DB00398,0
-0.205,DB01254,DB02424,0
12.705,DB01254,DB00398,29
3.0525,DB01234,DB00188,0
9.8325,DB01234,DB01254,0
-1.6325,DB01234,DB00530,0
5.985,DB01234,DB02424,0
1.2475,DB01234,DB01259,0
5.5975,DB01234,DB00398,0
7.6775,DB01234,DB01268,0
-0.965,DB00997,DB00188,0
3.9675,DB00997,DB01254,1
0.19,DB00997,DB00530,1
0.4475,DB00997,DB02424,0
1.7875,DB00997,DB01259,0
0.5725,DB00997,DB00398,0
-4.0175,DB00997,DB01268,1
-1.9675,DB00530,DB00188,0
1.655,DB00530,DB01254,27
6.5425,DB00530,DB02424,0
2.9425,DB00530,DB00398,24
-0.775,DB00773,DB00188,0
2.4825,DB00773,DB01254,0
3.4025,DB00773,DB00530,0
2.0025,DB00773,DB02424,0
-3.0175,DB00773,DB01259,0
0.675,DB00773,DB00398,0
-7.7575,DB00773,DB01268,0
5.34,DB02424,DB00398,0
0.37,DB01259,DB00188,0
8.65,DB01259,DB01254,6
-5.6475,DB01259,DB00530,8
7.3225,DB01259,DB02424,0
10.59,DB01259,DB00398,4
-0.86,DB00331,DB00188,0
4.51,DB00331,DB01254,0
-4.8675,DB00331,DB00530,0
1.22,DB00331,DB02424,0
-0.0075,DB00331,DB01259,0
4.0125,DB00331,DB00398,0
-5.3775,DB00331,DB01268,0
0.325,DB00563,DB00188,0
4.7125,DB00563,DB01254,0
-3.2425,DB00563,DB00530,0
3.53,DB00563,DB02424,0
-2.7625,DB00563,DB01259,0
4.2025,DB00563,DB00398,0
-3.1325,DB00563,DB01268,0
-0.31,DB01229,DB00188,0
9.035,DB01229,DB01254,0
2.97,DB01229,DB00530,0
2.45,DB01229,DB02424,0
3.265,DB01229,DB01259,0
3.66,DB01229,DB00398,0
4.175,DB01229,DB01268,0
-1.82,DB01268,DB00188,0
12.935,DB01268,DB01254,34
-0.7075,DB01268,DB00530,36
6.5675,DB01268,DB02424,0
14.0525,DB01268,DB01259,5
6.315,DB01268,DB00398,40
-0.75,DB00570,DB00188,0
8.395,DB00570,DB01254,0
5.715,DB00570,DB00530,0
-1.4375,DB00570,DB02424,0
0.9325,DB00570,DB01259,0
8.3625,DB00570,DB00398,0
1.02,DB00570,DB01268,0
-0.8675,DB00361,DB00188,0
6.4425,DB00361,DB01254,0
2.31,DB00361,DB00530,0
0.4775,DB00361,DB02424,0
1.4125,DB00361,DB01259,0
3.13,DB00361,DB00398,0
2.505,DB00361,DB01268,0
2.354,DB00544,DB00188,0
1.582,DB00544,DB01254,0
7.284,DB00544,DB00530,0
-0.0225,DB00544,DB02424,0
6.978,DB00544,DB01259,0
-1.016,DB00544,DB00398,0
7.938,DB00544,DB01268,0
1.7525,DB00188,DB01254,0
-0.6975,DB00188,DB02424,0
-0.4725,DB00188,DB00398,0
2.7425,DB01254,DB02424,0
3.444,DB01254,DB00398,29
0.37,DB01234,DB00188,0
4.5875,DB01234,DB01254,0
2.72,DB01234,DB00530,0
0.9625,DB01234,DB02424,0
5.76,DB01234,DB01259,0
0.68,DB01234,DB00398,0
12.365,DB01234,DB01268,0
0.155,DB00997,DB00188,0
-0.4125,DB00997,DB01254,1
0.6,DB00997,DB00530,1
-0.5675,DB00997,DB02424,0
1.355,DB00997,DB01259,0
-5.925,DB00997,DB00398,0
-1.2275,DB00997,DB01268,1
10.258,DB00530,DB00188,0
5.7875,DB00530,DB01254,27
3.3775,DB00530,DB02424,0
1.215,DB00530,DB00398,24
1.885,DB00773,DB00188,0
3.6875,DB00773,DB01254,0
9.355,DB00773,DB00530,0
3.065,DB00773,DB02424,0
6.5325,DB00773,DB01259,0
-2.7075,DB00773,DB00398,0
6.08,DB00773,DB01268,0
-0.68,DB02424,DB00398,0
3.592,DB01259,DB00188,0
7.4675,DB01259,DB01254,6
1.594,DB01259,DB00530,8
3.515,DB01259,DB02424,0
1.04,DB01259,DB00398,4
-0.3375,DB00331,DB00188,0
2.95,DB00331,DB01254,0
-2.0425,DB00331,DB00530,0
-0.155,DB00331,DB02424,0
2.0675,DB00331,DB01259,0
-1.8225,DB00331,DB00398,0
9.0775,DB00331,DB01268,0
0.57,DB00563,DB00188,0
-6.9725,DB00563,DB01254,0
2.406,DB00563,DB00530,0
-2.025,DB00563,DB02424,0
4.81,DB00563,DB01259,0
-1.8175,DB00563,DB00398,0
-1.135,DB00563,DB01268,0
-0.736,DB01229,DB00188,0
1.158,DB01229,DB01254,0
4.794,DB01229,DB00530,0
-1.9575,DB01229,DB02424,0
5.446,DB01229,DB01259,0
1.08,DB01229,DB00398,0
5.216,DB01229,DB01268,0
4.378,DB01268,DB00188,0
16.72,DB01268,DB01254,34
10.354,DB01268,DB00530,36
4.3325,DB01268,DB02424,0
16.5375,DB01268,DB01259,5
3.028,DB01268,DB00398,40
0.8475,DB00570,DB00188,0
-4.005,DB00570,DB01254,0
2.2725,DB00570,DB00530,0
-3.8575,DB00570,DB02424,0
-1.5,DB00570,DB01259,0
0.665,DB00570,DB00398,0
2.4775,DB00570,DB01268,0
0.8425,DB00361,DB00188,0
