Drug1,Drug2,cell,drug1_db,drug2_db,synergy,synergistic
LAPATINIB,BORTEZOMIB,53,667,131,1.7725,1
LAPATINIB,DASATINIB,53,667,43,7.1,1
LAPATINIB,ERLOTINIB,53,667,409,5.1075,1
LAPATINIB,GELDANAMYCIN,53,667,387,9.875,1
LAPATINIB,SORAFENIB,53,667,566,20.58,1
LAPATINIB,TOPOTECAN,53,667,307,10.4225,1
METFORMIN,BORTEZOMIB,53,462,131,2.6525,1
METFORMIN,DASATINIB,53,462,43,-0.5275,0
METFORMIN,ERLOTINIB,53,462,409,-0.415,0
METFORMIN,GELDANAMYCIN,53,462,387,10.9925,1
METFORMIN,LAPATINIB,53,462,667,4.47,1
METFORMIN,SORAFENIB,53,462,566,17.3525,1
METFORMIN,SUNITINIB,53,462,343,13.2575,1
METHOTREXATE,BORTEZOMIB,53,340,131,-2.4275,0
METHOTREXATE,DASATINIB,53,340,43,5.06,1
METHOTREXATE,ERLOTINIB,53,340,409,3.2875,1
METHOTREXATE,GELDANAMYCIN,53,340,387,-6.2425,0
METHOTREXATE,LAPATINIB,53,340,667,0.105,1
METHOTREXATE,SORAFENIB,53,340,566,1.55,1
METHOTREXATE,SUNITINIB,53,340,343,-2.5225,0
PACLITAXEL,BORTEZOMIB,53,729,131,2.1075,1
PACLITAXEL,DASATINIB,53,729,43,0.645,1
PACLITAXEL,ERLOTINIB,53,729,409,-2.2525,0
PACLITAXEL,GELDANAMYCIN,53,729,387,3.855,1
PACLITAXEL,LAPATINIB,53,729,667,0.375,1
PACLITAXEL,SORAFENIB,53,729,566,3.4675,1
PACLITAXEL,SUNITINIB,53,729,343,5.6075,1
SUNITINIB,BORTEZOMIB,53,343,131,5.2975,1
SUNITINIB,DASATINIB,53,343,43,16.3975,1
SUNITINIB,ERLOTINIB,53,343,409,14.34,1
SUNITINIB,GELDANAMYCIN,53,343,387,10.5975,1
SUNITINIB,LAPATINIB,53,343,667,24.8375,1
SUNITINIB,SORAFENIB,53,343,566,12.515,1
SUNITINIB,TOPOTECAN,53,343,307,3.2725,1
TOPOTECAN,SORAFENIB,53,307,566,8.77,1
VINBLASTINE,BORTEZOMIB,53,579,131,4.51,1
VINBLASTINE,DASATINIB,53,579,43,-1.2525,0
VINBLASTINE,ERLOTINIB,53,579,409,8.9775,1
VINBLASTINE,GELDANAMYCIN,53,579,387,3.1475,1
VINBLASTINE,LAPATINIB,53,579,667,2.5875,1
VINBLASTINE,SORAFENIB,53,579,566,15.8075,1
VINBLASTINE,SUNITINIB,53,579,343,7.7925,1
VINORELBINE,BORTEZOMIB,53,746,131,0.125,1
VINORELBINE,DASATINIB,53,746,43,-1.34,0
VINORELBINE,ERLOTINIB,53,746,409,3.5475,1
VINORELBINE,GELDANAMYCIN,53,746,387,3.07,1
VINORELBINE,LAPATINIB,53,746,667,1.25,1
VINORELBINE,SORAFENIB,53,746,566,5.005,1
VINORELBINE,SUNITINIB,53,746,343,3.1575,1
5-FU,BORTEZOMIB,25,143,131,2.3325,1
5-FU,DASATINIB,25,143,43,11.825,1
5-FU,ERLOTINIB,25,143,409,15.215,1
5-FU,GELDANAMYCIN,25,143,387,4.1725,1
5-FU,LAPATINIB,25,143,667,15.875,1
5-FU,SORAFENIB,25,143,566,5.4125,1
5-FU,SUNITINIB,25,143,343,10.6925,1
BORTEZOMIB,DASATINIB,25,131,43,4.33,1
BORTEZOMIB,GELDANAMYCIN,25,131,387,3.0325,1
BORTEZOMIB,SORAFENIB,25,131,566,3.0225,1
BORTEZOMIB,TOPOTECAN,25,131,307,5.575,1
DASATINIB,GELDANAMYCIN,25,43,387,6.5325,1
DASATINIB,SORAFENIB,25,43,566,13.57,1
DASATINIB,TOPOTECAN,25,43,307,7.215,1
DEXAMETHASONE,BORTEZOMIB,25,487,131,1.5225,1
DEXAMETHASONE,DASATINIB,25,487,43,5.5075,1
DEXAMETHASONE,ERLOTINIB,25,487,409,3.7525,1
DEXAMETHASONE,GELDANAMYCIN,25,487,387,3.005,1
DEXAMETHASONE,LAPATINIB,25,487,667,4.5975,1
DEXAMETHASONE,SORAFENIB,25,487,566,2.0025,1
DEXAMETHASONE,SUNITINIB,25,487,343,5.795,1
DOXORUBICIN,BORTEZOMIB,25,114,131,4.1825,1
DOXORUBICIN,DASATINIB,25,114,43,7.6625,1
DOXORUBICIN,ERLOTINIB,25,114,409,6.0,1
DOXORUBICIN,GELDANAMYCIN,25,114,387,2.6175,1
DOXORUBICIN,LAPATINIB,25,114,667,8.875,1
DOXORUBICIN,SORAFENIB,25,114,566,-0.3575,0
DOXORUBICIN,SUNITINIB,25,114,343,-0.38,0
ERLOTINIB,BORTEZOMIB,25,409,131,2.68,1
ERLOTINIB,DASATINIB,25,409,43,11.615,1
ERLOTINIB,GELDANAMYCIN,25,409,387,5.6025,1
ERLOTINIB,SORAFENIB,25,409,566,8.295,1
ERLOTINIB,TOPOTECAN,25,409,307,13.0275,1
ETOPOSIDE,BORTEZOMIB,25,325,131,3.64,1
ETOPOSIDE,DASATINIB,25,325,43,9.715,1
ETOPOSIDE,ERLOTINIB,25,325,409,9.72,1
ETOPOSIDE,GELDANAMYCIN,25,325,387,3.5125,1
ETOPOSIDE,LAPATINIB,25,325,667,12.05,1
ETOPOSIDE,SORAFENIB,25,325,566,1.675,1
ETOPOSIDE,SUNITINIB,25,325,343,2.3025,1
GELDANAMYCIN,SORAFENIB,25,387,566,2.2275,1
GELDANAMYCIN,TOPOTECAN,25,387,307,3.3425,1
GEMCITABINE,BORTEZOMIB,25,78,131,2.8025,1
GEMCITABINE,DASATINIB,25,78,43,5.885,1
GEMCITABINE,ERLOTINIB,25,78,409,4.76,1
GEMCITABINE,GELDANAMYCIN,25,78,387,0.7825,1
GEMCITABINE,LAPATINIB,25,78,667,5.7025,1
GEMCITABINE,SORAFENIB,25,78,566,0.2475,1
GEMCITABINE,SUNITINIB,25,78,343,2.825,1
LAPATINIB,BORTEZOMIB,25,667,131,5.6925,1
LAPATINIB,DASATINIB,25,667,43,19.5325,1
LAPATINIB,ERLOTINIB,25,667,409,9.385,1
LAPATINIB,GELDANAMYCIN,25,667,387,6.77,1
LAPATINIB,SORAFENIB,25,667,566,7.7375,1
LAPATINIB,TOPOTECAN,25,667,307,10.205,1
METFORMIN,BORTEZOMIB,25,462,131,0.645,1
METFORMIN,DASATINIB,25,462,43,10.49,1
METFORMIN,ERLOTINIB,25,462,409,4.5225,1
METFORMIN,GELDANAMYCIN,25,462,387,1.3575,1
METFORMIN,LAPATINIB,25,462,667,4.83,1
METFORMIN,SORAFENIB,25,462,566,5.6425,1
METFORMIN,SUNITINIB,25,462,343,11.5225,1
METHOTREXATE,BORTEZOMIB,25,340,131,0.7725,1
METHOTREXATE,DASATINIB,25,340,43,2.15,1
METHOTREXATE,ERLOTINIB,25,340,409,2.595,1
METHOTREXATE,GELDANAMYCIN,25,340,387,-1.18,0
METHOTREXATE,LAPATINIB,25,340,667,2.33,1
METHOTREXATE,SORAFENIB,25,340,566,0.8175,1
METHOTREXATE,SUNITINIB,25,340,343,-0.14,0
PACLITAXEL,BORTEZOMIB,25,729,131,2.215,1
PACLITAXEL,DASATINIB,25,729,43,11.8525,1
PACLITAXEL,ERLOTINIB,25,729,409,4.1875,1
PACLITAXEL,GELDANAMYCIN,25,729,387,0.67,1
PACLITAXEL,LAPATINIB,25,729,667,5.665,1
PACLITAXEL,SORAFENIB,25,729,566,5.3925,1
PACLITAXEL,SUNITINIB,25,729,343,6.03,1
SUNITINIB,BORTEZOMIB,25,343,131,6.1425,1
SUNITINIB,DASATINIB,25,343,43,15.355,1
SUNITINIB,ERLOTINIB,25,343,409,12.2275,1
SUNITINIB,GELDANAMYCIN,25,343,387,6.17,1
SUNITINIB,LAPATINIB,25,343,667,17.3475,1
SUNITINIB,SORAFENIB,25,343,566,2.3625,1
SUNITINIB,TOPOTECAN,25,343,307,3.3675,1
TOPOTECAN,SORAFENIB,25,307,566,3.0325,1
VINBLASTINE,BORTEZOMIB,25,579,131,4.2425,1
VINBLASTINE,DASATINIB,25,579,43,9.4425,1
VINBLASTINE,ERLOTINIB,25,579,409,10.5925,1
VINBLASTINE,GELDANAMYCIN,25,579,387,3.0275,1
VINBLASTINE,LAPATINIB,25,579,667,8.0425,1
VINBLASTINE,SORAFENIB,25,579,566,5.5925,1
VINBLASTINE,SUNITINIB,25,579,343,6.3175,1
VINORELBINE,BORTEZOMIB,25,746,131,2.22,1
VINORELBINE,DASATINIB,25,746,43,6.845,1
VINORELBINE,ERLOTINIB,25,746,409,5.4375,1
VINORELBINE,GELDANAMYCIN,25,746,387,1.44,1
VINORELBINE,LAPATINIB,25,746,667,5.8925,1
VINORELBINE,SORAFENIB,25,746,566,1.69,1
VINORELBINE,SUNITINIB,25,746,343,5.1375,1
5-FU,BORTEZOMIB,24,143,131,0.9975,1
5-FU,DASATINIB,24,143,43,0.1925,1
5-FU,ERLOTINIB,24,143,409,1.12,1
5-FU,GELDANAMYCIN,24,143,387,6.2925,1
5-FU,LAPATINIB,24,143,667,-0.8575,0
5-FU,SORAFENIB,24,143,566,7.2025,1
5-FU,SUNITINIB,24,143,343,7.425,1
BORTEZOMIB,DASATINIB,24,131,43,-1.65,0
BORTEZOMIB,GELDANAMYCIN,24,131,387,3.785,1
BORTEZOMIB,SORAFENIB,24,131,566,8.0675,1
BORTEZOMIB,TOPOTECAN,24,131,307,-4.8325,0
DASATINIB,GELDANAMYCIN,24,43,387,9.8675,1
DASATINIB,SORAFENIB,24,43,566,13.25,1
DASATINIB,TOPOTECAN,24,43,307,6.125,1
DEXAMETHASONE,BORTEZOMIB,24,487,131,3.32,1
DEXAMETHASONE,DASATINIB,24,487,43,13.6625,1
DEXAMETHASONE,ERLOTINIB,24,487,409,-1.9475,0
DEXAMETHASONE,GELDANAMYCIN,24,487,387,5.59,1
DEXAMETHASONE,LAPATINIB,24,487,667,0.11,1
DEXAMETHASONE,SORAFENIB,24,487,566,13.375,1
DEXAMETHASONE,SUNITINIB,24,487,343,16.555,1
DOXORUBICIN,BORTEZOMIB,24,114,131,-0.1025,0
DOXORUBICIN,DASATINIB,24,114,43,-4.7025,0
DOXORUBICIN,ERLOTINIB,24,114,409,-5.645,0
DOXORUBICIN,GELDANAMYCIN,24,114,387,-2.4225,0
DOXORUBICIN,LAPATINIB,24,114,667,-3.9125,0
DOXORUBICIN,SORAFENIB,24,114,566,-16.425,0
DOXORUBICIN,SUNITINIB,24,114,343,-17.505,0
ERLOTINIB,BORTEZOMIB,24,409,131,-0.2325,0
ERLOTINIB,DASATINIB,24,409,43,-2.415,0
ERLOTINIB,GELDANAMYCIN,24,409,387,10.1875,1
ERLOTINIB,SORAFENIB,24,409,566,8.5525,1
ERLOTINIB,TOPOTECAN,24,409,307,15.61,1
ETOPOSIDE,BORTEZOMIB,24,325,131,0.0675,1
ETOPOSIDE,DASATINIB,24,325,43,5.2025,1
ETOPOSIDE,ERLOTINIB,24,325,409,6.8,1
ETOPOSIDE,GELDANAMYCIN,24,325,387,0.365,1
ETOPOSIDE,LAPATINIB,24,325,667,3.175,1
ETOPOSIDE,SORAFENIB,24,325,566,1.3875,1
ETOPOSIDE,SUNITINIB,24,325,343,-1.3525,0
GELDANAMYCIN,SORAFENIB,24,387,566,6.835,1
GELDANAMYCIN,TOPOTECAN,24,387,307,-0.8975,0
GEMCITABINE,BORTEZOMIB,24,78,131,1.86,1
GEMCITABINE,DASATINIB,24,78,43,2.8825,1
GEMCITABINE,ERLOTINIB,24,78,409,0.41,1
GEMCITABINE,GELDANAMYCIN,24,78,387,0.23,1
GEMCITABINE,LAPATINIB,24,78,667,-1.6825,0
GEMCITABINE,SORAFENIB,24,78,566,1.2675,1
GEMCITABINE,SUNITINIB,24,78,343,1.7075,1
LAPATINIB,BORTEZOMIB,24,667,131,3.1625,1
LAPATINIB,DASATINIB,24,667,43,-3.375,0
LAPATINIB,ERLOTINIB,24,667,409,-5.1725,0
LAPATINIB,GELDANAMYCIN,24,667,387,9.0575,1
LAPATINIB,SORAFENIB,24,667,566,7.975,1
LAPATINIB,TOPOTECAN,24,667,307,6.255,1
METFORMIN,BORTEZOMIB,24,462,131,-0.7575,0
METFORMIN,DASATINIB,24,462,43,-2.735,0
METFORMIN,ERLOTINIB,24,462,409,-3.3975,0
METFORMIN,GELDANAMYCIN,24,462,387,0.9775,1
METFORMIN,LAPATINIB,24,462,667,-2.0175,0
METFORMIN,SORAFENIB,24,462,566,8.3,1
METFORMIN,SUNITINIB,24,462,343,4.9275,1
METHOTREXATE,BORTEZOMIB,24,340,131,3.4575,1
METHOTREXATE,DASATINIB,24,340,43,0.2,1
METHOTREXATE,ERLOTINIB,24,340,409,10.26,1
METHOTREXATE,GELDANAMYCIN,24,340,387,5.0325,1
METHOTREXATE,LAPATINIB,24,340,667,9.2575,1
METHOTREXATE,SORAFENIB,24,340,566,6.9325,1
METHOTREXATE,SUNITINIB,24,340,343,-2.295,0
PACLITAXEL,BORTEZOMIB,24,729,131,-0.9375,0
PACLITAXEL,DASATINIB,24,729,43,5.08,1
PACLITAXEL,ERLOTINIB,24,729,409,9.9375,1
PACLITAXEL,GELDANAMYCIN,24,729,387,-0.54,0
PACLITAXEL,LAPATINIB,24,729,667,17.83,1
PACLITAXEL,SORAFENIB,24,729,566,10.055,1
PACLITAXEL,SUNITINIB,24,729,343,8.3475,1
SUNITINIB,BORTEZOMIB,24,343,131,2.7225,1
SUNITINIB,DASATINIB,24,343,43,14.285,1
SUNITINIB,ERLOTINIB,24,343,409,7.29,1
SUNITINIB,GELDANAMYCIN,24,343,387,9.9425,1
SUNITINIB,LAPATINIB,24,343,667,9.1225,1
SUNITINIB,SORAFENIB,24,343,566,9.525,1
SUNITINIB,TOPOTECAN,24,343,307,2.1075,1
TOPOTECAN,SORAFENIB,24,307,566,11.225,1
VINBLASTINE,BORTEZOMIB,24,579,131,1.4525,1
VINBLASTINE,DASATINIB,24,579,43,-0.4475,0
VINBLASTINE,ERLOTINIB,24,579,409,9.4075,1
VINBLASTINE,GELDANAMYCIN,24,579,387,4.5025,1
VINBLASTINE,LAPATINIB,24,579,667,6.7325,1
VINBLASTINE,SORAFENIB,24,579,566,11.075,1
VINBLASTINE,SUNITINIB,24,579,343,0.17,1
VINORELBINE,BORTEZOMIB,24,746,131,1.515,1
VINORELBINE,DASATINIB,24,746,43,6.54,1
VINORELBINE,ERLOTINIB,24,746,409,12.69,1
VINORELBINE,GELDANAMYCIN,24,746,387,8.6425,1
VINORELBINE,LAPATINIB,24,746,667,13.7925,1
VINORELBINE,SORAFENIB,24,746,566,8.6825,1
VINORELBINE,SUNITINIB,24,746,343,4.41,1
5-FU,BORTEZOMIB,71,143,131,1.1375,1
5-FU,DASATINIB,71,143,43,4.4575,1
5-FU,ERLOTINIB,71,143,409,-1.1275,0
5-FU,GELDANAMYCIN,71,143,387,1.09,1
5-FU,LAPATINIB,71,143,667,-1.61,0
5-FU,SORAFENIB,71,143,566,5.51,1
5-FU,SUNITINIB,71,143,343,10.085,1
BORTEZOMIB,DASATINIB,71,131,43,1.795,1
BORTEZOMIB,GELDANAMYCIN,71,131,387,3.9875,1
BORTEZOMIB,SORAFENIB,71,131,566,3.91,1
BORTEZOMIB,TOPOTECAN,71,131,307,5.7625,1
DASATINIB,GELDANAMYCIN,71,43,387,-4.565,0
DASATINIB,SORAFENIB,71,43,566,6.7125,1
DASATINIB,TOPOTECAN,71,43,307,2.89,1
DEXAMETHASONE,BORTEZOMIB,71,487,131,-5.1325,0
DEXAMETHASONE,DASATINIB,71,487,43,5.3275,1
DEXAMETHASONE,ERLOTINIB,71,487,409,-3.7175,0
DEXAMETHASONE,GELDANAMYCIN,71,487,387,-2.92,0
DEXAMETHASONE,LAPATINIB,71,487,667,5.6325,1
DEXAMETHASONE,SORAFENIB,71,487,566,11.0975,1
DEXAMETHASONE,SUNITINIB,71,487,343,-4.3175,0
DOXORUBICIN,BORTEZOMIB,71,114,131,0.2175,1
DOXORUBICIN,DASATINIB,71,114,43,0.9475,1
DOXORUBICIN,ERLOTINIB,71,114,409,0.125,1
DOXORUBICIN,GELDANAMYCIN,71,114,387,-1.35,0
DOXORUBICIN,LAPATINIB,71,114,667,6.675,1
DOXORUBICIN,SORAFENIB,71,114,566,-2.3,0
DOXORUBICIN,SUNITINIB,71,114,343,-1.97,0
ERLOTINIB,BORTEZOMIB,71,409,131,1.0425,1
ERLOTINIB,DASATINIB,71,409,43,-2.6875,0
ERLOTINIB,GELDANAMYCIN,71,409,387,4.61,1
ERLOTINIB,SORAFENIB,71,409,566,8.37,1
ERLOTINIB,TOPOTECAN,71,409,307,9.645,1
ETOPOSIDE,BORTEZOMIB,71,325,131,4.3175,1
ETOPOSIDE,DASATINIB,71,325,43,5.6375,1
ETOPOSIDE,ERLOTINIB,71,325,409,4.815,1
ETOPOSIDE,GELDANAMYCIN,71,325,387,6.0475,1
ETOPOSIDE,LAPATINIB,71,325,667,8.3425,1
ETOPOSIDE,SORAFENIB,71,325,566,7.22,1
ETOPOSIDE,SUNITINIB,71,325,343,5.26,1
GELDANAMYCIN,SORAFENIB,71,387,566,8.285,1
GELDANAMYCIN,TOPOTECAN,71,387,307,2.3775,1
GEMCITABINE,BORTEZOMIB,71,78,131,1.6575,1
GEMCITABINE,DASATINIB,71,78,43,-0.09,0
GEMCITABINE,ERLOTINIB,71,78,409,0.0225,1
GEMCITABINE,GELDANAMYCIN,71,78,387,-0.17,0
GEMCITABINE,LAPATINIB,71,78,667,2.6025,1
GEMCITABINE,SORAFENIB,71,78,566,-0.735,0
GEMCITABINE,SUNITINIB,71,78,343,1.7975,1
LAPATINIB,BORTEZOMIB,71,667,131,1.9975,1
LAPATINIB,DASATINIB,71,667,43,3.7375,1
LAPATINIB,ERLOTINIB,71,667,409,-3.0825,0
LAPATINIB,GELDANAMYCIN,71,667,387,8.405,1
LAPATINIB,SORAFENIB,71,667,566,9.415,1
LAPATINIB,TOPOTECAN,71,667,307,5.7925,1
METFORMIN,BORTEZOMIB,71,462,131,1.915,1
METFORMIN,DASATINIB,71,462,43,-0.485,0
METFORMIN,ERLOTINIB,71,462,409,-0.5225,0
METFORMIN,GELDANAMYCIN,71,462,387,2.565,1
METFORMIN,LAPATINIB,71,462,667,-3.8075,0
METFORMIN,SORAFENIB,71,462,566,7.535,1
METFORMIN,SUNITINIB,71,462,343,3.1675,1
METHOTREXATE,BORTEZOMIB,71,340,131,2.565,1
METHOTREXATE,DASATINIB,71,340,43,-7.365,0
METHOTREXATE,ERLOTINIB,71,340,409,-9.41,0
METHOTREXATE,GELDANAMYCIN,71,340,387,-0.8175,0
METHOTREXATE,LAPATINIB,71,340,667,-5.3675,0
METHOTREXATE,SORAFENIB,71,340,566,1.2725,1
METHOTREXATE,SUNITINIB,71,340,343,-4.515,0
PACLITAXEL,BORTEZOMIB,71,729,131,2.9075,1
PACLITAXEL,DASATINIB,71,729,43,0.23,1
PACLITAXEL,ERLOTINIB,71,729,409,1.3275,1
PACLITAXEL,GELDANAMYCIN,71,729,387,0.16,1
PACLITAXEL,LAPATINIB,71,729,667,7.1325,1
PACLITAXEL,SORAFENIB,71,729,566,2.2925,1
PACLITAXEL,SUNITINIB,71,729,343,0.47,1
SUNITINIB,BORTEZOMIB,71,343,131,4.66,1
SUNITINIB,DASATINIB,71,343,43,-2.7175,0
SUNITINIB,ERLOTINIB,71,343,409,-1.61,0
SUNITINIB,GELDANAMYCIN,71,343,387,9.065,1
SUNITINIB,LAPATINIB,71,343,667,9.74,1
SUNITINIB,SORAFENIB,71,343,566,4.355,1
SUNITINIB,TOPOTECAN,71,343,307,4.755,1
TOPOTECAN,SORAFENIB,71,307,566,7.755,1
VINBLASTINE,BORTEZOMIB,71,579,131,4.1575,1
VINBLASTINE,DASATINIB,71,579,43,-2.505,0
VINBLASTINE,ERLOTINIB,71,579,409,6.4625,1
VINBLASTINE,GELDANAMYCIN,71,579,387,2.83,1
VINBLASTINE,LAPATINIB,71,579,667,3.145,1
VINBLASTINE,SORAFENIB,71,579,566,7.5775,1
VINBLASTINE,SUNITINIB,71,579,343,1.815,1
VINORELBINE,BORTEZOMIB,71,746,131,2.5525,1
VINORELBINE,DASATINIB,71,746,43,-4.01,0
VINORELBINE,ERLOTINIB,71,746,409,0.765,1
VINORELBINE,GELDANAMYCIN,71,746,387,1.91,1
VINORELBINE,LAPATINIB,71,746,667,2.7675,1
VINORELBINE,SORAFENIB,71,746,566,1.855,1
VINORELBINE,SUNITINIB,71,746,343,-0.795,0
5-FU,BORTEZOMIB,12,143,131,7.72,1
5-FU,DASATINIB,12,143,43,5.1975,1
5-FU,ERLOTINIB,12,143,409,3.96,1
5-FU,GELDANAMYCIN,12,143,387,3.05,1
5-FU,LAPATINIB,12,143,667,2.7075,1
5-FU,SORAFENIB,12,143,566,-2.4225,0
5-FU,SUNITINIB,12,143,343,6.7175,1
BORTEZOMIB,DASATINIB,12,131,43,13.38,1
BORTEZOMIB,GELDANAMYCIN,12,131,387,19.7325,1
BORTEZOMIB,SORAFENIB,12,131,566,6.135,1
BORTEZOMIB,TOPOTECAN,12,131,307,10.055,1
DASATINIB,GELDANAMYCIN,12,43,387,4.4575,1
DASATINIB,SORAFENIB,12,43,566,2.52,1
DASATINIB,TOPOTECAN,12,43,307,2.4375,1
DEXAMETHASONE,BORTEZOMIB,12,487,131,18.53,1
DEXAMETHASONE,DASATINIB,12,487,43,2.9575,1
DEXAMETHASONE,ERLOTINIB,12,487,409,3.33,1
DEXAMETHASONE,GELDANAMYCIN,12,487,387,1.9725,1
DEXAMETHASONE,LAPATINIB,12,487,667,4.3775,1
DEXAMETHASONE,SORAFENIB,12,487,566,2.07,1
DEXAMETHASONE,SUNITINIB,12,487,343,11.0825,1
DOXORUBICIN,BORTEZOMIB,12,114,131,10.2525,1
DOXORUBICIN,DASATINIB,12,114,43,12.815,1
DOXORUBICIN,ERLOTINIB,12,114,409,-11.0325,0
DOXORUBICIN,GELDANAMYCIN,12,114,387,4.1725,1
DOXORUBICIN,LAPATINIB,12,114,667,4.1975,1
DOXORUBICIN,SORAFENIB,12,114,566,-10.72,0
DOXORUBICIN,SUNITINIB,12,114,343,1.15,1
ERLOTINIB,BORTEZOMIB,12,409,131,13.12,1
ERLOTINIB,DASATINIB,12,409,43,7.47,1
ERLOTINIB,GELDANAMYCIN,12,409,387,3.755,1
ERLOTINIB,SORAFENIB,12,409,566,-0.4275,0
ERLOTINIB,TOPOTECAN,12,409,307,2.3525,1
ETOPOSIDE,BORTEZOMIB,12,325,131,12.6875,1
ETOPOSIDE,DASATINIB,12,325,43,0.13,1
ETOPOSIDE,ERLOTINIB,12,325,409,3.8025,1
ETOPOSIDE,GELDANAMYCIN,12,325,387,-0.675,0
ETOPOSIDE,LAPATINIB,12,325,667,8.65,1
ETOPOSIDE,SORAFENIB,12,325,566,-1.47,0
ETOPOSIDE,SUNITINIB,12,325,343,6.58,1
GELDANAMYCIN,SORAFENIB,12,387,566,1.5125,1
GELDANAMYCIN,TOPOTECAN,12,387,307,4.8825,1
GEMCITABINE,BORTEZOMIB,12,78,131,14.2025,1
GEMCITABINE,DASATINIB,12,78,43,21.1325,1
GEMCITABINE,ERLOTINIB,12,78,409,5.97,1
GEMCITABINE,GELDANAMYCIN,12,78,387,15.8,1
GEMCITABINE,LAPATINIB,12,78,667,5.29,1
GEMCITABINE,SORAFENIB,12,78,566,-0.405,0
GEMCITABINE,SUNITINIB,12,78,343,5.0725,1
LAPATINIB,BORTEZOMIB,12,667,131,22.55,1
LAPATINIB,DASATINIB,12,667,43,7.475,1
LAPATINIB,ERLOTINIB,12,667,409,0.9425,1
LAPATINIB,GELDANAMYCIN,12,667,387,12.2875,1
LAPATINIB,SORAFENIB,12,667,566,3.265,1
LAPATINIB,TOPOTECAN,12,667,307,-1.9275,0
METFORMIN,BORTEZOMIB,12,462,131,4.1925,1
METFORMIN,DASATINIB,12,462,43,3.7875,1
METFORMIN,ERLOTINIB,12,462,409,3.35,1
METFORMIN,GELDANAMYCIN,12,462,387,1.8425,1
METFORMIN,LAPATINIB,12,462,667,7.1575,1
METFORMIN,SORAFENIB,12,462,566,2.8025,1
METFORMIN,SUNITINIB,12,462,343,10.225,1
METHOTREXATE,BORTEZOMIB,12,340,131,4.5225,1
METHOTREXATE,DASATINIB,12,340,43,2.3075,1
METHOTREXATE,ERLOTINIB,12,340,409,1.3725,1
METHOTREXATE,GELDANAMYCIN,12,340,387,1.78,1
METHOTREXATE,LAPATINIB,12,340,667,2.4075,1
METHOTREXATE,SORAFENIB,12,340,566,-1.535,0
METHOTREXATE,SUNITINIB,12,340,343,-0.5325,0
