Drug1,Drug2,cell,drug1_db,drug2_db,synergy,synergistic
METFORMIN,GELDANAMYCIN,45,716,585,0.9775,1
METFORMIN,LAPATINIB,45,716,531,-2.0175,0
METFORMIN,SORAFENIB,45,716,159,8.3,1
METFORMIN,SUNITINIB,45,716,366,4.9275,1
METHOTREXATE,BORTEZOMIB,45,440,393,3.4575,1
METHOTREXATE,DASATINIB,45,440,458,0.2,1
METHOTREXATE,ERLOTINIB,45,440,367,10.26,1
METHOTREXATE,GELDANAMYCIN,45,440,585,5.0325,1
METHOTREXATE,LAPATINIB,45,440,531,9.2575,1
METHOTREXATE,SORAFENIB,45,440,159,6.9325,1
METHOTREXATE,SUNITINIB,45,440,366,-2.295,0
PACLITAXEL,BORTEZOMIB,45,267,393,-0.9375,0
PACLITAXEL,DASATINIB,45,267,458,5.08,1
PACLITAXEL,ERLOTINIB,45,267,367,9.9375,1
PACLITAXEL,GELDANAMYCIN,45,267,585,-0.54,0
PACLITAXEL,LAPATINIB,45,267,531,17.83,1
PACLITAXEL,SORAFENIB,45,267,159,10.055,1
PACLITAXEL,SUNITINIB,45,267,366,8.3475,1
SUNITINIB,BORTEZOMIB,45,366,393,2.7225,1
SUNITINIB,DASATINIB,45,366,458,14.285,1
SUNITINIB,ERLOTINIB,45,366,367,7.29,1
SUNITINIB,GELDANAMYCIN,45,366,585,9.9425,1
SUNITINIB,LAPATINIB,45,366,531,9.1225,1
SUNITINIB,SORAFENIB,45,366,159,9.525,1
SUNITINIB,TOPOTECAN,45,366,745,2.1075,1
TOPOTECAN,SORAFENIB,45,745,159,11.225,1
VINBLASTINE,BORTEZOMIB,45,293,393,1.4525,1
VINBLASTINE,DASATINIB,45,293,458,-0.4475,0
VINBLASTINE,ERLOTINIB,45,293,367,9.4075,1
VINBLASTINE,GELDANAMYCIN,45,293,585,4.5025,1
VINBLASTINE,LAPATINIB,45,293,531,6.7325,1
VINBLASTINE,SORAFENIB,45,293,159,11.075,1
VINBLASTINE,SUNITINIB,45,293,366,0.17,1
VINORELBINE,BORTEZOMIB,45,416,393,1.515,1
VINORELBINE,DASATINIB,45,416,458,6.54,1
VINORELBINE,ERLOTINIB,45,416,367,12.69,1
VINORELBINE,GELDANAMYCIN,45,416,585,8.6425,1
VINORELBINE,LAPATINIB,45,416,531,13.7925,1
VINORELBINE,SORAFENIB,45,416,159,8.6825,1
VINORELBINE,SUNITINIB,45,416,366,4.41,1
5-FU,BORTEZOMIB,6,251,393,1.1375,1
5-FU,DASATINIB,6,251,458,4.4575,1
5-FU,ERLOTINIB,6,251,367,-1.1275,0
5-FU,GELDANAMYCIN,6,251,585,1.09,1
5-FU,LAPATINIB,6,251,531,-1.61,0
5-FU,SORAFENIB,6,251,159,5.51,1
5-FU,SUNITINIB,6,251,366,10.085,1
BORTEZOMIB,DASATINIB,6,393,458,1.795,1
BORTEZOMIB,GELDANAMYCIN,6,393,585,3.9875,1
BORTEZOMIB,SORAFENIB,6,393,159,3.91,1
BORTEZOMIB,TOPOTECAN,6,393,745,5.7625,1
DASATINIB,GELDANAMYCIN,6,458,585,-4.565,0
DASATINIB,SORAFENIB,6,458,159,6.7125,1
DASATINIB,TOPOTECAN,6,458,745,2.89,1
DEXAMETHASONE,BORTEZOMIB,6,552,393,-5.1325,0
DEXAMETHASONE,DASATINIB,6,552,458,5.3275,1
DEXAMETHASONE,ERLOTINIB,6,552,367,-3.7175,0
DEXAMETHASONE,GELDANAMYCIN,6,552,585,-2.92,0
DEXAMETHASONE,LAPATINIB,6,552,531,5.6325,1
DEXAMETHASONE,SORAFENIB,6,552,159,11.0975,1
DEXAMETHASONE,SUNITINIB,6,552,366,-4.3175,0
DOXORUBICIN,BORTEZOMIB,6,761,393,0.2175,1
DOXORUBICIN,DASATINIB,6,761,458,0.9475,1
DOXORUBICIN,ERLOTINIB,6,761,367,0.125,1
DOXORUBICIN,GELDANAMYCIN,6,761,585,-1.35,0
DOXORUBICIN,LAPATINIB,6,761,531,6.675,1
DOXORUBICIN,SORAFENIB,6,761,159,-2.3,0
DOXORUBICIN,SUNITINIB,6,761,366,-1.97,0
ERLOTINIB,BORTEZOMIB,6,367,393,1.0425,1
ERLOTINIB,DASATINIB,6,367,458,-2.6875,0
ERLOTINIB,GELDANAMYCIN,6,367,585,4.61,1
ERLOTINIB,SORAFENIB,6,367,159,8.37,1
ERLOTINIB,TOPOTECAN,6,367,745,9.645,1
ETOPOSIDE,BORTEZOMIB,6,589,393,4.3175,1
ETOPOSIDE,DASATINIB,6,589,458,5.6375,1
ETOPOSIDE,ERLOTINIB,6,589,367,4.815,1
ETOPOSIDE,GELDANAMYCIN,6,589,585,6.0475,1
ETOPOSIDE,LAPATINIB,6,589,531,8.3425,1
ETOPOSIDE,SORAFENIB,6,589,159,7.22,1
ETOPOSIDE,SUNITINIB,6,589,366,5.26,1
GELDANAMYCIN,SORAFENIB,6,585,159,8.285,1
GELDANAMYCIN,TOPOTECAN,6,585,745,2.3775,1
GEMCITABINE,BORTEZOMIB,6,592,393,1.6575,1
GEMCITABINE,DASATINIB,6,592,458,-0.09,0
GEMCITABINE,ERLOTINIB,6,592,367,0.0225,1
GEMCITABINE,GELDANAMYCIN,6,592,585,-0.17,0
GEMCITABINE,LAPATINIB,6,592,531,2.6025,1
GEMCITABINE,SORAFENIB,6,592,159,-0.735,0
GEMCITABINE,SUNITINIB,6,592,366,1.7975,1
LAPATINIB,BORTEZOMIB,6,531,393,1.9975,1
LAPATINIB,DASATINIB,6,531,458,3.7375,1
LAPATINIB,ERLOTINIB,6,531,367,-3.0825,0
LAPATINIB,GELDANAMYCIN,6,531,585,8.405,1
LAPATINIB,SORAFENIB,6,531,159,9.415,1
LAPATINIB,TOPOTECAN,6,531,745,5.7925,1
METFORMIN,BORTEZOMIB,6,716,393,1.915,1
METFORMIN,DASATINIB,6,716,458,-0.485,0
METFORMIN,ERLOTINIB,6,716,367,-0.5225,0
METFORMIN,GELDANAMYCIN,6,716,585,2.565,1
METFORMIN,LAPATINIB,6,716,531,-3.8075,0
METFORMIN,SORAFENIB,6,716,159,7.535,1
METFORMIN,SUNITINIB,6,716,366,3.1675,1
METHOTREXATE,BORTEZOMIB,6,440,393,2.565,1
METHOTREXATE,DASATINIB,6,440,458,-7.365,0
METHOTREXATE,ERLOTINIB,6,440,367,-9.41,0
METHOTREXATE,GELDANAMYCIN,6,440,585,-0.8175,0
METHOTREXATE,LAPATINIB,6,440,531,-5.3675,0
METHOTREXATE,SORAFENIB,6,440,159,1.2725,1
METHOTREXATE,SUNITINIB,6,440,366,-4.515,0
PACLITAXEL,BORTEZOMIB,6,267,393,2.9075,1
PACLITAXEL,DASATINIB,6,267,458,0.23,1
PACLITAXEL,ERLOTINIB,6,267,367,1.3275,1
PACLITAXEL,GELDANAMYCIN,6,267,585,0.16,1
PACLITAXEL,LAPATINIB,6,267,531,7.1325,1
PACLITAXEL,SORAFENIB,6,267,159,2.2925,1
PACLITAXEL,SUNITINIB,6,267,366,0.47,1
SUNITINIB,BORTEZOMIB,6,366,393,4.66,1
SUNITINIB,DASATINIB,6,366,458,-2.7175,0
SUNITINIB,ERLOTINIB,6,366,367,-1.61,0
SUNITINIB,GELDANAMYCIN,6,366,585,9.065,1
SUNITINIB,LAPATINIB,6,366,531,9.74,1
SUNITINIB,SORAFENIB,6,366,159,4.355,1
SUNITINIB,TOPOTECAN,6,366,745,4.755,1
TOPOTECAN,SORAFENIB,6,745,159,7.755,1
VINBLASTINE,BORTEZOMIB,6,293,393,4.1575,1
VINBLASTINE,DASATINIB,6,293,458,-2.505,0
VINBLASTINE,ERLOTINIB,6,293,367,6.4625,1
VINBLASTINE,GELDANAMYCIN,6,293,585,2.83,1
VINBLASTINE,LAPATINIB,6,293,531,3.145,1
VINBLASTINE,SORAFENIB,6,293,159,7.5775,1
VINBLASTINE,SUNITINIB,6,293,366,1.815,1
VINORELBINE,BORTEZOMIB,6,416,393,2.5525,1
VINORELBINE,DASATINIB,6,416,458,-4.01,0
VINORELBINE,ERLOTINIB,6,416,367,0.765,1
VINORELBINE,GELDANAMYCIN,6,416,585,1.91,1
VINORELBINE,LAPATINIB,6,416,531,2.7675,1
VINORELBINE,SORAFENIB,6,416,159,1.855,1
VINORELBINE,SUNITINIB,6,416,366,-0.795,0
5-FU,BORTEZOMIB,2,251,393,7.72,1
5-FU,DASATINIB,2,251,458,5.1975,1
5-FU,ERLOTINIB,2,251,367,3.96,1
5-FU,GELDANAMYCIN,2,251,585,3.05,1
5-FU,LAPATINIB,2,251,531,2.7075,1
5-FU,SORAFENIB,2,251,159,-2.4225,0
5-FU,SUNITINIB,2,251,366,6.7175,1
BORTEZOMIB,DASATINIB,2,393,458,13.38,1
BORTEZOMIB,GELDANAMYCIN,2,393,585,19.7325,1
BORTEZOMIB,SORAFENIB,2,393,159,6.135,1
BORTEZOMIB,TOPOTECAN,2,393,745,10.055,1
DASATINIB,GELDANAMYCIN,2,458,585,4.4575,1
DASATINIB,SORAFENIB,2,458,159,2.52,1
DASATINIB,TOPOTECAN,2,458,745,2.4375,1
DEXAMETHASONE,BORTEZOMIB,2,552,393,18.53,1
DEXAMETHASONE,DASATINIB,2,552,458,2.9575,1
DEXAMETHASONE,ERLOTINIB,2,552,367,3.33,1
DEXAMETHASONE,GELDANAMYCIN,2,552,585,1.9725,1
DEXAMETHASONE,LAPATINIB,2,552,531,4.3775,1
DEXAMETHASONE,SORAFENIB,2,552,159,2.07,1
DEXAMETHASONE,SUNITINIB,2,552,366,11.0825,1
DOXORUBICIN,BORTEZOMIB,2,761,393,10.2525,1
DOXORUBICIN,DASATINIB,2,761,458,12.815,1
DOXORUBICIN,ERLOTINIB,2,761,367,-11.0325,0
DOXORUBICIN,GELDANAMYCIN,2,761,585,4.1725,1
DOXORUBICIN,LAPATINIB,2,761,531,4.1975,1
DOXORUBICIN,SORAFENIB,2,761,159,-10.72,0
DOXORUBICIN,SUNITINIB,2,761,366,1.15,1
ERLOTINIB,BORTEZOMIB,2,367,393,13.12,1
ERLOTINIB,DASATINIB,2,367,458,7.47,1
ERLOTINIB,GELDANAMYCIN,2,367,585,3.755,1
ERLOTINIB,SORAFENIB,2,367,159,-0.4275,0
ERLOTINIB,TOPOTECAN,2,367,745,2.3525,1
ETOPOSIDE,BORTEZOMIB,2,589,393,12.6875,1
ETOPOSIDE,DASATINIB,2,589,458,0.13,1
ETOPOSIDE,ERLOTINIB,2,589,367,3.8025,1
ETOPOSIDE,GELDANAMYCIN,2,589,585,-0.675,0
ETOPOSIDE,LAPATINIB,2,589,531,8.65,1
ETOPOSIDE,SORAFENIB,2,589,159,-1.47,0
ETOPOSIDE,SUNITINIB,2,589,366,6.58,1
GELDANAMYCIN,SORAFENIB,2,585,159,1.5125,1
GELDANAMYCIN,TOPOTECAN,2,585,745,4.8825,1
GEMCITABINE,BORTEZOMIB,2,592,393,14.2025,1
GEMCITABINE,DASATINIB,2,592,458,21.1325,1
GEMCITABINE,ERLOTINIB,2,592,367,5.97,1
GEMCITABINE,GELDANAMYCIN,2,592,585,15.8,1
GEMCITABINE,LAPATINIB,2,592,531,5.29,1
GEMCITABINE,SORAFENIB,2,592,159,-0.405,0
GEMCITABINE,SUNITINIB,2,592,366,5.0725,1
LAPATINIB,BORTEZOMIB,2,531,393,22.55,1
LAPATINIB,DASATINIB,2,531,458,7.475,1
LAPATINIB,ERLOTINIB,2,531,367,0.9425,1
LAPATINIB,GELDANAMYCIN,2,531,585,12.2875,1
LAPATINIB,SORAFENIB,2,531,159,3.265,1
LAPATINIB,TOPOTECAN,2,531,745,-1.9275,0
METFORMIN,BORTEZOMIB,2,716,393,4.1925,1
METFORMIN,DASATINIB,2,716,458,3.7875,1
METFORMIN,ERLOTINIB,2,716,367,3.35,1
METFORMIN,GELDANAMYCIN,2,716,585,1.8425,1
METFORMIN,LAPATINIB,2,716,531,7.1575,1
METFORMIN,SORAFENIB,2,716,159,2.8025,1
METFORMIN,SUNITINIB,2,716,366,10.225,1
METHOTREXATE,BORTEZOMIB,2,440,393,4.5225,1
METHOTREXATE,DASATINIB,2,440,458,2.3075,1
METHOTREXATE,ERLOTINIB,2,440,367,1.3725,1
METHOTREXATE,GELDANAMYCIN,2,440,585,1.78,1
METHOTREXATE,LAPATINIB,2,440,531,2.4075,1
METHOTREXATE,SORAFENIB,2,440,159,-1.535,0
METHOTREXATE,SUNITINIB,2,440,366,-0.5325,0
